time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss
9,6144,679,-128.28714285714287,838.0,3,0.112548828125,0.0003,1250,2.7597371098585426,0.7279523313045502,-0.7305884351953864,0.0072766747,0.2,0.00234939534420846,0.16692477464675903
13,8192,622,-110.39777777777778,830.2222222222222,4,0.0939453125,0.0003,1260,17.870661426335573,0.7152372002601624,-0.7780829276889563,0.0132815335,0.2,-0.002686059808183927,1.424197793006897
16,10240,639,-117.95416666666667,839.1666666666666,5,0.067236328125,0.0003,1270,31.023773213662206,0.5720988810062408,-0.7452468004077673,0.007803674,0.2,-0.0012482980382628739,5.050197124481201
19,12288,634,-123.10071428571429,831.8571428571429,6,0.11103515625,0.0003,1280,15.61720958855003,0.7025937139987946,-0.7936542769894004,0.007863668,0.2,-0.0018361383241426664,0.7007070779800415
22,14336,627,-113.36235294117648,839.0588235294117,7,0.076708984375,0.0003,1290,13.852134201396257,0.801916316151619,-0.7782026171684265,0.008885259,0.2,-0.0018678380045457743,6.839742660522461
26,16384,616,-112.49631578947367,856.0,8,0.041162109375,0.0003,1300,35.295064599066976,0.14862710237503052,-0.820033653639257,0.003382681,0.2,-0.0009397276262461673,4.547430992126465
29,18432,615,-106.18047619047618,849.0952380952381,9,0.094384765625,0.0003,1310,0.8241942642023787,0.6767855882644653,-0.8374897323548793,0.007455433,0.2,-0.0029205270839156583,0.4208972156047821
33,20480,609,-101.31625000000001,850.2083333333334,10,0.067578125,0.0003,1320,20.881559219770132,0.7781915813684464,-0.8034252442419529,0.0060057067,0.2,-0.002158445910754381,1.4296842813491821
36,22528,610,-93.04192307692308,830.4230769230769,11,0.096435546875,0.0003,1330,17.44272240139544,0.8682478666305542,-0.7202172389253974,0.009362302,0.2,-0.003635821135685546,9.743443489074707
41,24576,596,-93.26392857142858,842.5357142857143,12,0.0228515625,0.0003,1340,61.27130806539208,0.29242658615112305,-0.6271421375684441,0.0029494697,0.2,-0.0009780931686691474,92.81205749511719
44,26624,603,-98.6690625,826.4375,13,0.131982421875,0.0003,1350,2.6664705090224743,0.9396043121814728,-0.8581353254616261,0.011894882,0.2,-0.005787264382524882,0.9071102738380432
47,28672,606,-102.64942857142856,806.7714285714286,14,0.04033203125,0.0003,1360,71.45406295433641,0.6613392531871796,-0.5930429653264582,0.0028967457,0.2,-0.0012635944083740469,31.473678588867188
50,30720,613,-95.7757894736842,796.0,15,0.0326171875,0.0003,1370,31.65257105268538,0.5238960981369019,-0.8030622404068708,0.004690702,0.2,2.0254022092558444e-05,1.011802077293396
53,32768,610,-95.69775,806.2,16,0.01962890625,0.0003,1380,81.2963368717581,0.445335328578949,-0.7124846890568733,0.004293374,0.2,-0.0007788729679305106,27.998998641967773
57,34816,605,-95.54928571428572,815.4285714285714,17,0.09609375,0.0003,1390,2.2844671460799875,0.9513678252696991,-0.8694685641676188,0.018294714,0.2,-0.003042363734857645,0.5609317421913147
60,36864,608,-93.27177777777779,816.8,18,0.097900390625,0.0003,1400,0.8889908093493432,0.9575561732053757,-0.8507462326437235,0.0073698107,0.2,-0.0005753832723712548,0.26562005281448364
64,38912,607,-90.83510638297872,814.1702127659574,19,0.0349609375,0.0003,1410,39.68969808686525,0.5118056535720825,-0.7813636912032962,0.006938559,0.2,-0.001156326366617577,41.943565368652344
66,40960,612,-92.68900000000002,814.56,20,0.04130859375,0.0003,1420,29.92053209943697,0.6177511215209961,-0.8058077918365598,0.003066911,0.2,-0.00044112339101047836,2.069422483444214
69,43008,615,-88.09981132075471,804.9433962264151,21,0.11826171875,0.0003,1430,13.845518968207761,0.5778248608112335,-0.8708049595355988,0.015770124,0.2,-0.0010210499422100838,3.18263840675354
