time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss
8,1116,16384,-191.5530612244898,14,327.44897959183675,0.0032217132,-0.0015698885981692001,0.2,0.0003,0.04267578125,85.40643822550774,-0.6273918960243463,1300,0.8912337720394135,39.92438507080078
9,1116,18432,-186.35625000000002,16,325.0357142857143,0.0054818555,-0.0035350728860066736,0.2,0.0003,0.074853515625,69.71718114614487,-0.6712218746542931,1310,0.9401010610163212,5.1236677169799805
10,1107,20480,-189.31290322580648,18,317.61290322580646,0.006092904,-0.001303211892809486,0.2,0.0003,0.04296875,89.29043137729168,-0.5767591247335077,1320,0.9266568794846535,31.23975944519043
11,1099,22528,-186.66691176470587,20,327.7352941176471,0.012450779,-0.002594309123014682,0.2,0.0003,0.152783203125,50.885832065343855,-0.7069002009928227,1330,0.9595716297626495,18.921598434448242
12,1101,24576,-186.104,22,324.6,0.013951143,-0.005680388994369423,0.2,0.0003,0.1087890625,67.44633364081383,-0.6407344649545849,1340,0.963277779519558,20.097253799438477
13,1105,26624,-180.06071428571428,24,316.6190476190476,0.0059387265,-0.0026856960219447503,0.2,0.0003,0.086962890625,91.5038874566555,-0.5216139858588577,1350,0.9233088344335556,9.990470886230469
14,1111,28672,-175.40271739130435,25,310.9673913043478,0.0048433435,-0.0014102581517363433,0.2,0.0003,0.048681640625,100.15849599838256,-0.5770581939257682,1360,0.9348842799663544,57.354923248291016
15,1113,30720,-168.30858585858581,27,308.73737373737373,0.007007797,-0.004438646991184214,0.2,0.0003,0.064404296875,147.30738509893416,-0.5899990959092974,1370,0.9370571598410606,8.891018867492676
16,1116,32768,-166.45,29,300.97,0.008063747,-0.0033170656170113944,0.2,0.0003,0.107275390625,79.35551653504372,-0.5496740363538265,1380,0.9591538831591606,51.57189178466797
17,1123,34816,-161.75549999999998,30,294.24,0.006378199,-0.0028980814007809387,0.2,0.0003,0.083984375,109.82962284982204,-0.6000990149565041,1390,0.920813575387001,31.47821044921875
18,1127,36864,-156.88099999999997,32,288.03,0.0065772566,-0.0022865799830469767,0.2,0.0003,0.08310546875,92.44300621151925,-0.5720418658107519,1400,0.9524764604866505,24.894088745117188
19,1125,38912,-153.87349999999998,34,281.15,0.0059923106,-0.002212298731319606,0.2,0.0003,0.051025390625,161.09626774787904,-0.6605313874781131,1410,0.9383833929896355,23.80752944946289
20,1130,40960,-149.49849999999998,36,271.7,0.006332964,-0.0023322869783442,0.2,0.0003,0.04970703125,125.21967257261277,-0.528001907095313,1420,0.9272137507796288,102.27831268310547
21,1119,43008,-149.634,38,275.08,0.0076111704,-0.003559724792285124,0.2,0.0003,0.068212890625,92.14703391194344,-0.5449936994351446,1430,0.9523611776530743,26.662065505981445
22,1123,45056,-146.942,40,268.78,0.003912022,-0.0026654562330804764,0.2,0.0003,0.047314453125,115.67760649323463,-0.6787954993546009,1440,0.9467377960681915,52.70441818237305
