time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss
1364,2048,506.0,-191.04999999999998,1,1,6.234811305999756,0.0046514748,0.049609375,1230,0.0003,-0.0021918196049227844,0.89259322732687,0.2,-0.8238314125686884,73.20859398394823
875,4096,703.6,-166.458,2,4,16.755836486816406,0.008261077,0.079150390625,1240,0.0003,-0.004837263768422417,0.8983099907636642,0.2,-0.8004317006096244,37.956147053837775
751,6144,681.3333333333334,-120.94555555555556,3,8,0.128981351852417,0.024424277,0.142041015625,1250,0.0003,-0.004553669391316362,0.8453507721424103,0.2,-0.8121613340452314,1.5448206689674406
697,8192,675.1818181818181,-128.92363636363638,4,11,14.29651165008545,0.0047306707,0.063232421875,1260,0.0003,-0.00326902338747459,0.6969454884529114,0.2,-0.6532522084191441,92.6020591646433
685,10240,656.2666666666667,-129.94666666666666,5,14,11.389962196350098,0.011064834,0.051708984375,1270,0.0003,0.001059441409597639,0.7111492455005646,0.2,-0.8363455351442098,15.778583929687738
679,12288,682.2352941176471,-127.27588235294115,6,18,12.120637893676758,0.004876796,0.0646484375,1280,0.0003,-0.002167728098720545,0.6090497970581055,0.2,-0.7182442214339971,55.718242186307904
682,14336,699.15,-128.69,7,20,0.18534904718399048,0.006310122,0.0931640625,1290,0.0003,-0.0006032877776306122,0.6106095612049103,0.2,-0.774985096603632,28.48735074372962
683,16384,700.5652173913044,-127.89304347826085,8,23,20.281578063964844,0.009096785,0.0513671875,1300,0.0003,-0.0007823161664418876,0.9319348484277725,0.2,-0.6872653484344482,18.703031185362487
675,18432,724.52,-132.2032,9,27,17.934860229492188,0.0040908977,0.049560546875,1310,0.0003,-0.0013695573077711742,0.7650732845067978,0.2,-0.749522421695292,42.0555335639976
657,20480,744.925925925926,-135.86814814814815,10,31,0.9165509343147278,0.0025980393,0.0458984375,1320,0.0003,0.0007175892649684101,0.8711632192134857,0.2,-0.8407614653930068,1.8523002713918686
663,22528,762.5172413793103,-139.06689655172414,11,33,0.2758391201496124,0.008235558,0.036376953125,1330,0.0003,0.0010115547600435093,0.9199806451797485,0.2,-0.8494985794648529,0.5452833367977291
660,24576,763.1612903225806,-132.39000000000001,12,37,0.2131621390581131,0.0043683993,0.047607421875,1340,0.0003,-0.0011560401530005039,0.9240444526076317,0.2,-0.8366996118798852,0.5856938736047596
657,26624,767.3823529411765,-130.6814705882353,13,40,0.9456587433815002,0.011927229,0.0791015625,1350,0.0003,-0.001363968994701281,0.7749601602554321,0.2,-0.6973781891167163,27.005646656826137
