time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss
221184,694,660.26,108,318,-7.335408990000001,0.0003,0.7661835104227066,0.0062550157,0.026513671875,0.2,49.654762268066406,1070,-0.7988481258973479,-0.001368625630857423,156.73451987802983
223232,691,663.59,109,322,-8.920680579999999,0.0003,0.613675594329834,0.008483814,0.05205078125,0.2,41.00429916381836,1080,-0.7451288966462016,-0.00431369484795141,116.18461023271084
225280,692,661.14,110,325,-8.80089452,0.0003,0.9054785296320915,0.004979179,0.06357421875,0.2,2.9821157455444336,1090,-0.8274979196488857,-0.002653612705762498,23.34685599282384
227328,691,669.6,111,328,-10.100744659999998,0.0003,0.5859307646751404,0.005425945,0.056201171875,0.2,3.6623971462249756,1100,-0.7730307303369045,-0.0019423214376729447,129.36842195540666
229376,691,659.35,112,331,-8.807447269999999,0.0003,0.8168176859617233,0.009148477,0.175341796875,0.2,7.357939720153809,1110,-0.8671144105494022,-0.007035406233626418,69.48261352777482
231424,692,660.86,113,334,-10.79732987,0.0003,0.6341772973537445,0.004501438,0.0123046875,0.2,52.86549758911133,1120,-0.7648822866380215,-0.0016406976243160897,212.9152778595686
233472,692,659.33,114,336,-11.642633069999999,0.0003,0.7294880449771881,0.007582716,0.055126953125,0.2,93.22403717041016,1130,-0.8210107559338212,-0.0031766068619617726,139.61810743138193
235520,691,656.52,115,340,-15.065920699999998,0.0003,0.6064205765724182,0.004068423,0.033251953125,0.2,154.0359344482422,1140,-0.7630950747057795,-0.0014764664558242658,177.2508960559964
237568,691,666.39,116,343,-12.933280529999996,0.0003,0.8298461139202118,0.007998258,0.0861328125,0.2,57.894813537597656,1150,-0.8209821779280901,-0.003285045213124249,73.09931723028421
239616,691,654.13,117,346,-16.22464491,0.0003,0.7716040164232254,0.011966953,0.1029296875,0.2,20.707441329956055,1160,-0.7798806866630912,1.2578048699651845e-05,82.96235915049911
241664,691,662.47,118,349,-16.40174523,0.0003,0.705910712480545,0.011502543,0.10732421875,0.2,11.66707992553711,1170,-0.8436810100451112,-0.0033848783459689002,146.72795115709306
243712,692,655.37,119,351,-20.08871644,0.0003,0.6896247863769531,0.0044527557,0.04248046875,0.2,178.96119689941406,1180,-0.70487338937819,-0.0029517196024244187,204.03382253944875
245760,693,637.41,120,354,-19.370341549999996,0.0003,0.7887595295906067,0.018669192,0.1322265625,0.2,44.66143035888672,1190,-0.7610863093286753,-0.004265518558531767,142.73512895554305
247808,693,636.95,121,357,-19.665615699999996,0.0003,0.7055882811546326,0.0052641486,0.05478515625,0.2,141.60107421875,1200,-0.6576326778158545,-0.0018163953929615673,198.43730567693711
249856,693,643.73,122,360,-19.792700439999997,0.0003,0.8308984488248825,0.004297572,0.055908203125,0.2,4.185462951660156,1210,-0.7932646693661809,-0.0004839518580411095,127.82248629108071
251904,693,638.89,123,363,-19.006144069999994,0.0003,0.82399682700634,0.017103326,0.12216796875,0.2,12.460464477539062,1220,-0.7919292574748397,0.0014226797815354076,63.33847754746675
2048,990,504.25,1,2,-336.36249999999995,0.0003,0.8117047697305679,0.0034710774,0.059375,0.2,7.896722793579102,1230,-0.6528754929080606,-0.000674977359813056,79.84749468117953
4096,734,669.5,2,5,-383.9916666666666,0.0003,0.4859490394592285,0.0067208884,0.085400390625,0.2,3.6954545974731445,1240,-0.7671115018427372,-0.0015511247853282838,138.40267568305134
6144,759,712.0,3,8,-442.86249999999995,0.0003,0.23820441961288452,0.017098956,0.227197265625,0.2,1.2330321073532104,1250,-0.7406280850991607,-0.006436691453563981,25.527568229287862
