rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates
880.23,645,364,115,-22.04139327,235520,0.07216796875,0.0003,0.008013669,0.455735981464386,-0.7696178378537297,35.41021728515625,-0.00368578417255776,0.2,148.92212330698968,1140
880.23,643,369,116,-22.68131038,237568,0.054052734375,0.0003,0.005254945,0.67996746301651,-0.8198386579751968,2.22308611869812,-0.001533113908226369,0.2,17.983204890415074,1150
880.23,641,373,117,-22.503529920000002,239616,0.04736328125,0.0003,0.0044367984,0.7672413140535355,-0.7849174996837973,0.9067504405975342,-0.0022181005653692408,0.2,11.145041502267123,1160
880.23,639,377,118,-22.63775052,241664,0.0728515625,0.0003,0.006917709,0.7960967868566513,-0.7609103513881564,0.7575302124023438,-0.0025886816139973233,0.2,19.266091543249786,1170
879.25,639,381,119,-25.60399313,243712,0.04091796875,0.0003,0.006996786,0.7503643929958344,-0.7521866846829652,0.729051947593689,0.00018557615840109065,0.2,19.189242867939175,1180
877.19,638,384,120,-24.575663389999995,245760,0.03720703125,0.0003,0.0054984065,0.6039355099201202,-0.756294284760952,44.12891387939453,-0.003590778154466534,0.2,69.84021220356226,1190
884.05,637,388,121,-24.009893669999997,247808,0.032666015625,0.0003,0.0034849106,0.5671831667423248,-0.7557426273822785,284.57012939453125,-0.00036262566864024847,0.2,53.2196237038821,1200
876.36,638,391,122,-26.257680110000003,249856,0.07138671875,0.0003,0.004789269,0.8617730885744095,-0.7849655332043767,2.698314666748047,0.0009939152005244978,0.2,32.930397441983224,1210
867.75,639,393,123,-26.380836180000003,251904,0.0580078125,0.0003,0.005444775,0.6950588822364807,-0.7784504489973187,105.06653594970703,0.0013461832670145669,0.2,46.7972395721823,1220
653.6666666666666,867,2,1,-660.7666666666667,2048,0.03681640625,0.0003,0.004227241,0.6318374872207642,-0.7390288710594177,38.18766784667969,-7.834058342268691e-05,0.2,60.67510532289744,1230
651.4,783,5,2,-653.31,4096,0.091748046875,0.0003,0.012126471,0.7079438865184784,-0.7818975513800979,45.205326080322266,-0.004336879283800954,0.2,121.6935024857521,1240
758.75,655,9,3,-735.59375,6144,0.050439453125,0.0003,0.006719018,0.5726398229598999,-0.7923158129677177,8.770193099975586,-0.001285376113082748,0.2,61.73068846389651,1250
792.0,616,13,4,-732.825,8192,0.036083984375,0.0003,0.009097124,0.7371392250061035,-0.7717006433755159,1.5622433423995972,-0.0002123784855939448,0.2,30.399804063141346,1260
678.1333333333333,637,16,5,-640.36,10240,0.065087890625,0.0003,0.004673521,-0.14191126823425293,-0.7138087606057525,96.18423461914062,0.0005307261082634796,0.2,99.57476645037532,1270
716.0,625,19,6,-669.7411764705882,12288,0.036279296875,0.0003,0.004104485,0.272951602935791,-0.7294265782460571,18.358638763427734,-0.0003834901166555937,0.2,125.2271724268794,1280
674.7142857142857,644,22,7,-644.0833333333334,14336,0.053759765625,0.0003,0.0050142817,0.7163052260875702,-0.7832543458789587,2.276984691619873,-0.0026686623845307623,0.2,10.278897700831294,1290
700.8695652173913,647,25,8,-659.1543478260871,16384,0.05869140625,0.0003,0.008394161,0.10662204027175903,-0.7908877331763506,16.545082092285156,-0.0010508032006327993,0.2,49.7490722797811,1300
723.24,614,30,9,-665.7819999999999,18432,0.105322265625,0.0003,0.012401778,0.49056166410446167,-0.8121020928025245,2.71140456199646,-0.0006451818117056973,0.2,11.515715788304806,1310
713.5,628,32,10,-654.8839285714286,20480,0.082568359375,0.0003,0.0083153695,0.5898783802986145,-0.8130767501890659,131.64846801757812,-0.0018856982511351815,0.2,77.2445512086153,1320
