time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/policy_gradient_loss
225280,110,468,9.64433251,481,792.41,0.9379348456859589,29.051651405822486,0.2,0.151025390625,0.2881331443786621,0.01159623,0.0003,0.5645772218704224,-1.6949098400771618,1090,0.00232423740089871
227328,111,472,9.20440476,481,796.62,0.8709422945976257,84.45407170318067,0.2,0.113037109375,1.6428614854812622,0.012549016,0.0003,0.5636308193206787,-1.6871749565005303,1100,-0.0005114218198286835
229376,112,477,9.816355320000001,480,787.95,0.932612307369709,31.079071991890668,0.2,0.102099609375,256.9805908203125,0.010224223,0.0003,0.5602543354034424,-1.6776019897311927,1110,-0.002694531485030893
231424,113,480,11.49246053,481,797.04,0.8381931632757187,108.0163620904088,0.2,0.067822265625,416.18536376953125,0.005704332,0.0003,0.5604642033576965,-1.6708798211067915,1120,-0.005547513802594039
233472,114,484,11.509677340000001,481,797.04,0.8927076756954193,85.1999590203166,0.2,0.04208984375,11.325919151306152,0.006204822,0.0003,0.5600672960281372,-1.6723935700953008,1130,-0.001194629702513339
235520,115,487,12.34590839,483,804.74,0.9561877399682999,30.391908838041125,0.2,0.107763671875,279.1069030761719,0.008967686,0.0003,0.565372884273529,-1.6820563908666373,1140,-0.0029923331720056014
237568,116,490,11.973059789999997,484,789.46,0.8113029152154922,71.70521435178816,0.2,0.067236328125,1.5420156717300415,0.0053896597,0.0003,0.5607602000236511,-1.6869361028075218,1150,-0.003459401241707383
239616,117,493,11.430371580000001,485,776.16,0.7804021090269089,150.21243688985706,0.2,0.04462890625,40.53455352783203,0.0053378176,0.0003,0.5586839318275452,-1.6740139495581388,1160,-0.002469315886264667
241664,118,497,10.362376610000004,486,766.76,0.8080125004053116,102.04537007436156,0.2,0.047900390625,6.590577602386475,0.0073302747,0.0003,0.5578766465187073,-1.6689726408571004,1170,-0.0025688961912237575
243712,119,501,10.793014500000002,486,766.14,0.855643093585968,125.3695456698537,0.2,0.03935546875,22.572057723999023,0.005626007,0.0003,0.5577677488327026,-1.6663547720760108,1180,-0.00038568737072637306
245760,120,504,13.820390770000001,486,769.77,0.8967485353350639,61.757082651928066,0.2,0.106396484375,271.7439880371094,0.0063022478,0.0003,0.5555263757705688,-1.6624324176460505,1190,-0.0037388587996247226
247808,121,508,12.63634229,487,758.35,0.8939429447054863,46.85552836954594,0.2,0.08681640625,1.9268819093704224,0.010254615,0.0003,0.5443354845046997,-1.638426334038377,1200,8.351531942025758e-05
249856,122,513,14.928131149999999,486,759.54,0.8313836604356766,93.7863504357636,0.2,0.054736328125,13.091980934143066,0.0046699475,0.0003,0.5453965663909912,-1.620166963711381,1210,-0.002432986823259853
251904,123,517,12.862899359999998,486,765.19,0.7662060111761093,80.52955283373595,0.2,0.0919921875,4.9929304122924805,0.00817908,0.0003,0.5501118898391724,-1.6311521377414464,1220,-0.007282368393134675
2048,1,3,42.4457775,548,568.5,0.7594061642885208,114.69512012451887,0.2,0.0375,40.00190734863281,0.007155041,0.0003,0.5462781190872192,-1.6330907218158246,1230,-0.004929587691731285
4096,2,7,-30.620170200000008,545,673.2,0.8432899713516235,80.90506002157926,0.2,0.04501953125,21.373247146606445,0.0044999,0.0003,0.5502662658691406,-1.6342205192893744,1240,-0.0009977154433727265
6144,3,10,-30.535585250000004,572,742.75,0.8520460873842239,87.51214441023767,0.2,0.089013671875,0.45867079496383667,0.009104168,0.0003,0.550969123840332,-1.6408050436526538,1250,0.00011475704195618164
8192,4,15,-48.97702490909091,530,740.6363636363636,0.7756077498197556,76.7347682595253,0.2,0.125146484375,5.970725059509277,0.0077618756,0.0003,0.5470614433288574,-1.6370202016085387,1260,-0.0022014101850800216
10240,5,19,-51.12395130769231,532,780.5384615384615,0.8999748229980469,51.8208524981048,0.2,0.112890625,1.4375579357147217,0.0073781004,0.0003,0.5447783470153809,-1.6232418730854987,1270,-0.0026831274171854602
12288,6,23,-55.48010093333333,533,809.8,0.8929279670119286,37.33012507040985,0.2,0.15380859375,0.34553611278533936,0.013582919,0.0003,0.5378817319869995,-1.6028475839644671,1280,0.0014575590837921481
14336,7,27,-54.83559152941177,517,832.1764705882352,0.8643591552972794,28.61503052813932,0.2,0.119580078125,0.850588858127594,0.007151819,0.0003,0.5337100625038147,-1.5849652606993914,1290,-0.0011042731763154733
16384,8,31,-53.74915400000001,518,849.8421052631579,0.9146189838647842,34.569025525450705,0.2,0.077685546875,213.6407470703125,0.007463359,0.0003,0.5283098816871643,-1.5706758737564086,1300,-0.0017025197346811182
18432,9,35,-55.99841413636364,523,811.5,0.937512718141079,31.222355463076383,0.2,0.047998046875,0.4006141424179077,0.0045549087,0.0003,0.5312272310256958,-1.5606732476502656,1310,-0.00045096097528585233
20480,10,38,-57.599407359999994,528,807.2,0.9010400623083115,69.68832253441215,0.2,0.051708984375,36.20770263671875,0.0067677693,0.0003,0.5279173851013184,-1.560691637918353,1320,-0.004385223012650386
