rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss
351.85,295,802,49.30521925000001,116,237568,0.007032042,15.41297435760498,1150,0.4807289242744446,0.06015625,0.0003,0.2,-0.0016027011231926735,139.0059462144971,-0.6353019748814404
351.3,297,804,52.55053942000001,117,239616,0.0027296143,148.05477905273438,1160,0.4265778660774231,0.01943359375,0.0003,0.2,-0.0007929986633826048,266.6643702179193,-0.6544689064845443
350.87,299,806,47.74682312,118,241664,0.00694923,23.067668914794922,1170,0.3988382816314697,0.0490234375,0.0003,0.2,-0.002666431647958234,213.36696181595326,-0.647453030385077
350.7,301,807,48.180470969999995,119,243712,0.00334774,96.39250946044922,1180,0.509024977684021,0.01171875,0.0003,0.2,-0.0016284332683426327,358.5845044851303,-0.6463883994147182
347.46,303,809,43.92644641999999,120,245760,0.0030179592,30.991046905517578,1190,0.5034866034984589,0.0181640625,0.0003,0.2,-0.0019314553479489404,284.44342439174653,-0.6485541835427284
344.85,305,810,45.36360197999999,121,247808,0.004198635,41.513648986816406,1200,0.5265331566333771,0.03359375,0.0003,0.2,-0.002246356189425569,261.2028534591198,-0.7166489090770483
345.35,307,811,46.59063464,122,249856,0.0064464966,23.85995864868164,1210,0.44075775146484375,0.0515625,0.0003,0.2,-0.004871936334529892,242.2758053123951,-0.6133278541266918
344.46,309,813,48.01906357000001,123,251904,0.010529356,220.41346740722656,1220,0.27958589792251587,0.08828125,0.0003,0.2,-0.004428939861463732,188.94105828106404,-0.7247817238792778
324.1666666666667,1,1475,-16.536666666666665,1,2048,0.01013609,9.647189140319824,1230,0.4388447403907776,0.084912109375,0.0003,0.2,-0.0026263626692525576,148.5256989866495,-0.6630851706489921
320.1666666666667,3,1240,-14.964166666666666,2,4096,0.009890833,73.7716064453125,1240,0.4467383623123169,0.1181640625,0.0003,0.2,-0.0017375619972881395,149.50926189422609,-0.7190901827067137
307.89473684210526,5,1206,-42.34052631578947,3,6144,0.0046630343,14.963155746459961,1250,0.6268322169780731,0.047509765625,0.0003,0.2,-0.0016149073075212073,123.14998192489148,-0.713122395798564
308.34615384615387,6,1178,-32.082307692307694,4,8192,0.005395886,134.49925231933594,1260,0.6261441111564636,0.04658203125,0.0003,0.2,-0.0030515257582010235,188.1849834561348,-0.7258605819195509
309.3333333333333,8,1153,-25.76787878787879,5,10240,0.008074251,98.50381469726562,1270,0.6810885071754456,0.063720703125,0.0003,0.2,-0.0018783853942295537,131.45445203781128,-0.6920580085366964
308.6666666666667,10,1144,-28.603589743589744,6,12288,0.0047453055,21.05132293701172,1280,0.5714082419872284,0.03876953125,0.0003,0.2,-0.0021427260369819125,165.0984733402729,-0.5977295344695449
308.5,12,1136,-24.338913043478264,7,14336,0.008952789,79.86014556884766,1290,0.8274295181035995,0.101953125,0.0003,0.2,-0.0028446275398891887,118.37999679744243,-0.6803583569824696
313.9230769230769,14,1123,-26.77423076923077,8,16384,0.0084733935,28.140029907226562,1300,0.8248310834169388,0.086669921875,0.0003,0.2,-0.002343401682082913,98.15418265461922,-0.6337314061820507
306.01666666666665,16,1126,-35.720000000000006,9,18432,0.007105359,6.1173996925354,1310,0.8495560437440872,0.0673828125,0.0003,0.2,-0.007951146367122418,97.43743800222873,-0.6192098302766681
309.2878787878788,18,1119,-36.79,10,20480,0.0048449067,42.06180953979492,1320,0.5149030089378357,0.031494140625,0.0003,0.2,-0.0023343047461821696,208.57726309299468,-0.7125169398263097
312.19444444444446,20,1109,-31.970694444444447,11,22528,0.0015741877,12.584012985229492,1330,0.7421499192714691,0.034228515625,0.0003,0.2,-0.001636536956357304,117.16250711083413,-0.676706088334322
313.47435897435895,22,1108,-28.054358974358976,12,24576,0.0032209954,170.57325744628906,1340,0.75696861743927,0.02841796875,0.0003,0.2,-0.002249776708049467,129.57036187946795,-0.6250543276779353
314.57142857142856,24,1100,-26.820238095238096,13,26624,0.0062628854,54.86418151855469,1350,0.8365066945552826,0.07119140625,0.0003,0.2,-0.0030162981645844413,94.3444968432188,-0.6780334457755088
