time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates
44,20,40960,-179.80384040449437,913,458.13483146067415,-0.610097984969616,67.10887234061957,9.770611763000488,0.05830078125,0.5766740143299103,-0.0015989006191375666,0.009874528,0.2,0.0003,1420
46,21,43008,-181.91840013829784,917,448.22340425531917,-0.629188516549766,239.15852236747742,34.985965728759766,0.009716796875,0.6861850917339325,-0.0010743561405433867,0.002832155,0.2,0.0003,1430
48,22,45056,-178.28864514999998,922,444.43,-0.677745146304369,268.52617868483065,61.000816345214844,0.024365234375,0.43330758810043335,-0.0017642145758145489,0.0062672496,0.2,0.0003,1440
51,23,47104,-173.87675170999995,919,441.92,-0.6849805386736989,176.81207253336908,29.786720275878906,0.080712890625,0.7406750321388245,-0.0026174730868660846,0.007839644,0.2,0.0003,1450
53,24,49152,-170.19204268000001,921,424.57,-0.6668286427855492,170.87683004587888,174.4221649169922,0.0845703125,0.6584762334823608,-0.0013326690959729603,0.0034554456,0.2,0.0003,1460
55,25,51200,-165.17297471999998,925,421.77,-0.6647981125861406,225.07412035763264,33.30141830444336,0.086376953125,0.6639154553413391,-0.00429074331332231,0.0047278744,0.2,0.0003,1470
57,26,53248,-160.27354032,931,410.06,-0.6058397022075951,230.15793167352678,15.7269868850708,0.064013671875,0.7225335538387299,-0.0028176844694826285,0.0069627073,0.2,0.0003,1480
59,27,55296,-160.29654134999998,928,409.01,-0.5980363264679909,217.00887530744075,38.12831115722656,0.0466796875,0.6311086118221283,-0.0015380568023829256,0.0036101947,0.2,0.0003,1490
62,28,57344,-161.81036855,921,419.3,-0.6224531972780823,241.38870078325272,99.79051208496094,0.025927734375,0.6458726227283478,-0.001588111409364501,0.0053285793,0.2,0.0003,1500
64,29,59392,-154.45897025,922,409.27,-0.6656635716557503,72.88466661702842,12.0908784866333,0.120166015625,0.6990112662315369,0.0007358009705058066,0.0056379894,0.2,0.0003,1510
66,30,61440,-149.74194526,927,384.33,-0.6860344760119915,163.23001484870912,46.72642517089844,0.097412109375,0.6622113883495331,-0.005290242424962344,0.010447362,0.2,0.0003,1520
68,31,63488,-144.66273746999997,927,371.61,-0.6269858568906784,426.821322453022,121.67182159423828,0.0330078125,0.5855195820331573,-0.001955876560350589,0.004826609,0.2,0.0003,1530
70,32,65536,-145.17983543999998,926,376.6,-0.6195098491385579,159.40070124566554,69.52456665039062,0.029443359375,0.6991306841373444,-0.0005734681151807308,0.0039854976,0.2,0.0003,1540
73,33,67584,-150.90966772,923,382.68,-0.6394942190498114,107.5874501619488,43.608306884765625,0.048876953125,0.7391536831855774,-0.0008637313432700467,0.004276025,0.2,0.0003,1550
75,34,69632,-155.37969429999998,923,393.07,-0.6947901474311948,158.7845192939043,58.306400299072266,0.069921875,0.7311176061630249,-0.008084081673587207,0.007157632,0.2,0.0003,1560
77,35,71680,-157.02950391000002,926,391.62,-0.6806895004585385,169.3302115380764,47.00689697265625,0.034033203125,0.614029049873352,-0.003028057576739229,0.0056924187,0.2,0.0003,1570
79,36,73728,-157.21556417,932,373.59,-0.6670430241152644,223.3877599209547,34.29332733154297,0.0482421875,0.7223264276981354,-0.0014007848629262298,0.0057555204,0.2,0.0003,1580
81,37,75776,-156.03112675000003,933,364.24,-0.6324654385447502,339.2904656946659,95.7831039428711,0.013525390625,0.6268095076084137,-0.001141475377517054,0.0033318452,0.2,0.0003,1590
83,38,77824,-154.96917421,937,355.39,-0.6265335626900196,241.3317022562027,42.9088134765625,0.0357421875,0.7365527451038361,-0.0021583693800494076,0.004972788,0.2,0.0003,1600
85,39,79872,-163.3913521,937,351.33,-0.6739702878519893,397.0574821829796,158.47610473632812,0.064306640625,0.6167334914207458,-0.0033299371192697436,0.0047690836,0.2,0.0003,1610
87,40,81920,-171.18855296,935,342.65,-0.7057289458811283,247.93489327728747,291.99249267578125,0.07060546875,0.7182483375072479,-0.0019543319176591467,0.006006456,0.2,0.0003,1620
89,41,83968,-175.92829032,935,341.16,-0.6331734503619373,321.0830518960953,58.24900436401367,0.052099609375,0.720764547586441,-0.0036986263141443486,0.011323353,0.2,0.0003,1630
92,42,86016,-176.55601763,934,351.03,-0.578733170311898,241.15349921286105,79.71803283691406,0.040625,0.6341553628444672,-0.001501897638081573,0.0024660751,0.2,0.0003,1640
93,43,88064,-171.76040222999995,938,344.79,-0.5519577647559345,125.25081469416618,76.66582489013672,0.08408203125,0.7182535231113434,-0.0032679647803888654,0.0064416686,0.2,0.0003,1650
96,44,90112,-172.73770628000003,938,332.01,-0.543667917791754,302.5764477968216,124.593017578125,0.038525390625,0.766960009932518,-0.0018487228466256057,0.0033606873,0.2,0.0003,1660
98,45,92160,-174.91774557,936,333.48,-0.6814262198284269,161.51069856286048,18.505769729614258,0.067626953125,0.7683625966310501,-0.002214112082583597,0.007212939,0.2,0.0003,1670
100,46,94208,-175.92279784,937,338.96,-0.5889012761414051,255.36374168395997,163.3848876953125,0.037939453125,0.6561055481433868,-0.002451467827631859,0.0043230993,0.2,0.0003,1680
102,47,96256,-173.49317051999998,939,347.58,-0.5577179766260087,239.0386220037937,44.056392669677734,0.04033203125,0.7089105844497681,-0.0014756729844521033,0.0036043671,0.2,0.0003,1690
