time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
251904,-2.7752952500000005,450,576.42,123,558,-0.0008709584893949795,0.5754685997962952,-1.7274661894887686,0.6901108026504517,21.691917419433594,0.005284568,1220,0.043017578125,118.27932305708528,0.0003,0.2
2048,-29.881535500000002,4,1000.0,1,483,-0.0030162048191414216,0.5754506587982178,-1.7288260992616415,0.6840916275978088,37.323944091796875,0.0058031892,1230,0.050439453125,171.21655002236366,0.0003,0.2
4096,-52.640594199999995,7,778.0,2,548,-0.0037709130792791257,0.5768171548843384,-1.7343726169317961,0.8369585275650024,1.6382207870483398,0.012192886,1240,0.13349609375,37.270532632619144,0.0003,0.2
6144,-65.26527327272726,10,529.0,3,607,-0.00199728264415171,0.5752582550048828,-1.7292948186397552,0.8085864931344986,34.99829864501953,0.007481914,1250,0.048046875,87.94652500301599,0.0003,0.2
8192,-72.2079441875,13,499.25,4,629,-0.004226154794741888,0.5734702348709106,-1.7257701247930526,0.5975793302059174,80.96588897705078,0.007397446,1260,0.04873046875,169.27193053364755,0.0003,0.2
10240,-74.56737436842104,17,537.1578947368421,5,588,-0.0044217744005436545,0.5736699104309082,-1.7222630694508552,0.7692428678274155,43.67050552368164,0.0073844236,1270,0.086474609375,134.00674326121808,0.0003,0.2
12288,-80.11164177272727,20,548.9545454545455,6,586,-0.0003121550573268905,0.5606839060783386,-1.700116938352585,0.7482238113880157,7.551363468170166,0.010344195,1280,0.09072265625,47.015838032774624,0.0003,0.2
14336,-81.63080546153846,24,547.7307692307693,7,593,-0.0021220054433797484,0.5568538308143616,-1.6736381657421588,0.6799579858779907,33.64917755126953,0.0077998484,1290,0.09482421875,101.3361576937139,0.0003,0.2
16384,-68.81230396551722,27,558.9310344827586,8,596,-0.0017046894565282856,0.555802583694458,-1.6626829896122217,0.8040209412574768,13.805583953857422,0.0071306005,1300,0.065087890625,105.77528092861175,0.0003,0.2
18432,-75.87261833333334,30,556.6666666666666,9,595,-0.003358491534163477,0.557146430015564,-1.6606007289141416,0.6765360534191132,32.95467758178711,0.0070183985,1310,0.084375,88.3128811955452,0.0003,0.2
