rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates
37.21459995000001,700,755.57,198656,283,97,67.859130859375,-0.00037012477769167164,0.2,0.5771187543869019,-0.8461492201313376,0.004863932,0.0003,115.30609187036752,0.07490234375,960
37.034413820000005,701,753.79,200704,286,98,3.699023723602295,-0.0006590364857402165,0.2,0.7799159288406372,-0.8321163648739457,0.0071991207,0.0003,104.10523155331612,0.0830078125,970
38.90673378,702,752.52,202752,288,99,36.03514099121094,-0.0013174790190532803,0.2,0.7323098480701447,-0.8222618455067277,0.006973158,0.0003,93.24825286269188,0.049462890625,980
37.73817427,702,746.98,204800,291,100,42.21382522583008,-0.003180875992984511,0.2,0.7981417924165726,-0.7915519800037145,0.0055222893,0.0003,110.79035991504789,0.06533203125,990
39.39116716,703,742.09,206848,294,101,90.9278335571289,-0.0014438037731451913,0.2,0.2559589743614197,-0.7241782816126943,0.006974859,0.0003,172.64319290071725,0.065478515625,1000
42.12549069,704,737.73,208896,296,102,32.053977966308594,-0.0017883955617435277,0.2,0.5644263327121735,-0.7408897206187248,0.004150806,0.0003,154.5245587863028,0.046826171875,1010
42.85832485,703,735.61,210944,300,103,36.78725051879883,-0.0010188233685767046,0.2,0.7139655351638794,-0.7735816646367312,0.0047345813,0.0003,86.42188384979963,0.03466796875,1020
45.96445126999999,701,735.44,212992,303,104,22.399202346801758,-0.0011489978540339507,0.2,0.4317271113395691,-0.7323764350265265,0.0029292493,0.0003,99.65932055860758,0.039501953125,1030
44.039380569999985,700,737.95,215040,307,105,19.781970977783203,-0.00288895300909644,0.2,0.571204423904419,-0.7956594422459602,0.0051168795,0.0003,89.9890524059534,0.07685546875,1040
40.94213584999999,700,737.66,217088,309,106,27.449844360351562,-0.0037879922543652355,0.2,0.6127987802028656,-0.7815080996602773,0.0064848894,0.0003,93.43003850504756,0.135107421875,1050
37.86567477,701,741.32,219136,312,107,34.881980895996094,-0.0026598843389365355,0.2,0.6029444932937622,-0.7218662969768047,0.005706854,0.0003,93.97195011526347,0.079736328125,1060
38.98162135,698,741.86,221184,316,108,19.941457748413086,-0.0014879685812047682,0.2,0.8089098930358887,-0.8137142434716225,0.0056840423,0.0003,81.06612931378186,0.05458984375,1070
38.74697097,696,744.08,223232,320,109,18.609294891357422,-0.0033749826994608156,0.2,0.6218281388282776,-0.6923974480479955,0.00635007,0.0003,80.98903375864029,0.0744140625,1080
38.51835654,695,747.0,225280,323,110,3.5951082706451416,-0.001105904541691416,0.2,0.7128954529762268,-0.7946764156222343,0.006890971,0.0003,70.89254960119725,0.065576171875,1090
40.16141037,693,751.63,227328,327,111,10.847865104675293,-0.002371222062356537,0.2,0.8117559254169464,-0.7593856425955892,0.0063176444,0.0003,77.05503828525543,0.060888671875,1100
39.73283697,692,753.26,229376,331,112,2.17438006401062,-0.004383283355855383,0.2,0.6496760249137878,-0.8179735489189625,0.0065364204,0.0003,63.28595809862018,0.08125,1110
38.30582336,693,753.02,231424,333,113,49.947208404541016,-0.0020682193058746633,0.2,0.47270262241363525,-0.7711208455264569,0.002902702,0.0003,165.31024300456048,0.031298828125,1120
40.61249658,692,754.71,233472,337,114,18.91712188720703,-0.0006060426894691773,0.2,0.738183856010437,-0.7830451332032681,0.008046107,0.0003,89.66258658245206,0.03076171875,1130
41.083544460000006,691,752.16,235520,340,115,12.867188453674316,-0.0008222322579968022,0.2,0.6522639989852905,-0.7770731240510941,0.0038589472,0.0003,87.46746655702592,0.047216796875,1140
36.14859846000001,692,755.48,237568,343,116,20.35657501220703,-0.005106753310974455,0.2,0.7494328618049622,-0.8620345011353493,0.006415187,0.0003,58.82199502289295,0.1267578125,1150
35.20288885,693,746.09,239616,345,117,33.50896453857422,-0.0007511509742471389,0.2,0.3310473561286926,-0.7255142571404576,0.0028784648,0.0003,263.47343822717664,0.0076171875,1160
32.79438971,693,745.87,241664,348,118,5.451628684997559,-0.0040297371375345396,0.2,0.684624195098877,-0.743022758886218,0.007862382,0.0003,141.62809270471334,0.073779296875,1170
30.228844470000002,694,748.42,243712,351,119,5.7574286460876465,-0.0010743379338236992,0.2,0.6156865358352661,-0.7849730022251606,0.004257258,0.0003,178.47372926026583,0.059619140625,1180
26.88243526,694,745.9,245760,353,120,71.04134368896484,-0.0015221936995658326,0.2,0.7196030616760254,-0.6571503156796098,0.003378005,0.0003,122.03876591324806,0.035498046875,1190
23.652836100000005,693,747.51,247808,357,121,46.71828079223633,-0.004247528409541701,0.2,0.651783287525177,-0.598385541792959,0.004973533,0.0003,176.44298419952392,0.03388671875,1200
24.49701334,693,745.37,249856,360,122,40.245113372802734,-0.0022611295920796693,0.2,0.7018614113330841,-0.7993940824642778,0.008955009,0.0003,92.61876894459128,0.088134765625,1210
27.802664520000008,693,743.44,251904,363,123,14.929519653320312,-0.0016407664810685675,0.2,0.671031653881073,-0.805310178361833,0.007791114,0.0003,84.28606107681989,0.064013671875,1220
-298.885513,927,721.0,2048,2,1,24.388959884643555,-0.0013976516769616865,0.2,0.7259608209133148,-0.7153791269287467,0.0042376793,0.0003,93.97896945774555,0.0349609375,1230
-411.8919496666667,742,656.3333333333334,4096,5,2,7.2164483070373535,-0.005515150622522924,0.2,0.7583056390285492,-0.6955624653026462,0.025161987,0.0003,77.98496405258774,0.149609375,1240
-446.77814824999996,696,727.75,6144,8,3,75.27348327636719,-0.0021696700583561323,0.2,0.6250558197498322,-0.7431603085249663,0.0036676317,0.0003,208.84979563951492,0.046630859375,1250
-424.00928672727264,679,689.0909090909091,8192,12,4,8.347798347473145,-0.0005569556946284137,0.2,0.8161665797233582,-0.7564956134185195,0.009677608,0.0003,75.0298992678523,0.083740234375,1260
-451.0576804285714,673,702.7857142857143,10240,15,5,104.3094253540039,-0.0014903377210430334,0.2,0.6690804660320282,-0.7570434207096696,0.00526854,0.0003,143.0774220764637,0.031201171875,1270
-455.4919256470588,664,691.9411764705883,12288,18,6,13.507994651794434,-0.002799205241171876,0.2,0.813048854470253,-0.7737273147329689,0.0032074228,0.0003,126.69608401060104,0.024560546875,1280
-458.43261785714276,663,672.8095238095239,14336,21,7,18.409860610961914,-0.004028479331827839,0.2,0.6975011229515076,-0.773679256439209,0.0055890894,0.0003,140.0069792240858,0.033837890625,1290
-451.74115607999994,665,650.28,16384,24,8,40.43393325805664,-0.0026581359932606576,0.2,0.7737301588058472,-0.7457511546090245,0.0058517335,0.0003,183.0963405609131,0.0720703125,1300
-447.57065932142854,666,647.0357142857143,18432,27,9,11.652196884155273,-0.0034471703140297903,0.2,0.8235775083303452,-0.7130941180512309,0.004216632,0.0003,170.42798277139664,0.0494140625,1310
-459.4460861666666,670,665.6,20480,30,10,53.80476760864258,-0.004079097600333625,0.2,0.8375534117221832,-0.7540075765922666,0.008086791,0.0003,116.8178729236126,0.05087890625,1320
-467.0160860625,644,675.1875,22528,34,11,6.3423638343811035,-0.005234137883235235,0.2,0.9150886535644531,-0.7762873318046332,0.007610991,0.0003,88.90731449574233,0.096826171875,1330
-468.9643772857143,640,693.0285714285715,24576,38,12,35.00621795654297,-0.0018116413146344712,0.2,0.8771749138832092,-0.7115978075191378,0.007042852,0.0003,96.41379727125168,0.09814453125,1340
-479.86231823684216,652,691.9473684210526,26624,40,13,25.063447952270508,-0.0035908003213990015,0.2,0.9267502278089523,-0.6979434540495276,0.0065326635,0.0003,67.29116831943392,0.056201171875,1350
