time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss
399,106,217088,542,15.077298650000005,749.6,2.764503806247376e-05,0.5949209928512573,0.2,327.4485168457031,0.00584365,1050,0.9318405911326408,-1.7991786252707243,0.082666015625,0.0003,32.32185032228008
404,107,219136,542,14.415212520000004,754.07,-0.0005532629686058499,0.5941310524940491,0.2,29.68438148498535,0.003077492,1060,0.8596878051757812,-1.7985666126012803,0.06806640625,0.0003,60.5879228848964
408,108,221184,542,12.68276337,758.48,-0.006418794408091344,0.5992493629455566,0.2,0.5605392456054688,0.010076456,1070,0.9157841056585312,-1.8006417687982321,0.13134765625,0.0003,36.026911941170695
410,109,223232,543,14.71299616,744.97,0.0006947467787540518,0.596470296382904,0.2,0.2943779230117798,0.0038661906,1080,0.9189391955733299,-1.8065178945660592,0.0642578125,0.0003,35.48279779488221
415,110,225280,542,19.167162909999995,734.76,-0.0016948400705587118,0.5929983854293823,0.2,138.47134399414062,0.005544755,1090,0.8758490309119225,-1.7963754560798406,0.0609375,0.0003,72.09086514431984
419,111,227328,542,20.40352892,729.05,-0.005033682184330246,0.5925150513648987,0.2,50.19377136230469,0.0046124025,1100,0.807061180472374,-1.7905322570353746,0.031005859375,0.0003,108.7154489070177
423,112,229376,541,18.16450462,727.54,-0.002461429132381454,0.5920131206512451,0.2,3.8826651573181152,0.0056996895,1110,0.848463773727417,-1.788013969361782,0.0486328125,0.0003,81.70189271047711
426,113,231424,542,20.785095990000006,723.09,-0.0014001591378473676,0.5910305976867676,0.2,19.527193069458008,0.0038423338,1120,0.8030909597873688,-1.7866871871054173,0.0388671875,0.0003,62.73300427272916
430,114,233472,542,20.852964919999998,723.09,-0.0025883979607897343,0.5906387567520142,0.2,3.0645649433135986,0.0073446664,1130,0.775572881102562,-1.7857492182403802,0.0486328125,0.0003,124.93501187637449
434,115,235520,541,23.123757740000002,729.36,-0.0032434980930702295,0.5975679159164429,0.2,0.15826572477817535,0.0067638755,1140,0.9057522267103195,-1.7947394892573356,0.12294921875,0.0003,38.38133067335002
437,116,237568,542,25.156105739999997,722.85,-0.006115169292752398,0.5974510908126831,0.2,0.31764063239097595,0.006312135,1150,0.7544698417186737,-1.8089702229946851,0.100927734375,0.0003,92.56813908801414
440,117,239616,543,25.59384964,729.05,-0.0002372867485973984,0.5971664190292358,0.2,283.6076965332031,0.005091384,1160,0.7877483069896698,-1.8052538454532623,0.0533203125,0.0003,102.6202001824975
446,118,241664,541,25.936190199999995,724.79,-0.003115336974224192,0.5889792442321777,0.2,45.35503387451172,0.0055266805,1170,0.8266391009092331,-1.7915043864399194,0.067529296875,0.0003,87.49466315060855
450,119,243712,540,24.521234829999997,731.57,-0.0033364412294758948,0.5869426727294922,0.2,5.302463054656982,0.005101471,1180,0.8551899492740631,-1.7733367264270783,0.05888671875,0.0003,63.79737692922354
454,120,245760,540,24.215814339999998,731.57,-0.0032193230697885157,0.5901197195053101,0.2,1.2466212511062622,0.00886197,1190,0.8980006352066994,-1.778471614792943,0.08798828125,0.0003,33.5139921978116
459,121,247808,539,21.54926184,730.23,-0.004854995451751165,0.5898127555847168,0.2,0.48835867643356323,0.008959704,1200,0.8900190591812134,-1.7811342813074589,0.078564453125,0.0003,32.146887267101555
463,122,249856,539,22.46824159,743.29,-0.00857014290704683,0.5865499973297119,0.2,2.9004859924316406,0.004863632,1210,0.7471523284912109,-1.773858605325222,0.112158203125,0.0003,111.13948114067315
466,123,251904,540,20.829839579999998,757.27,-0.00203176769282436,0.5729352235794067,0.2,1.6313252449035645,0.009655802,1220,0.8641581833362579,-1.7457484353333712,0.065771484375,0.0003,43.54495046492666
2,1,2048,802,47.28155533333334,445.0,-0.002545069380721543,0.5738416910171509,0.2,2.6929988861083984,0.0070881178,1230,0.8777900189161301,-1.7212733279913663,0.05908203125,0.0003,64.69127340726554
6,2,4096,603,17.823087333333337,649.6666666666666,-0.004739199429968722,0.5723845958709717,0.2,164.5648651123047,0.010754442,1240,0.7632428109645844,-1.724249540269375,0.0951171875,0.0003,99.41910689547657
9,3,6144,625,-16.338222555555557,627.2222222222222,-0.006206929595646215,0.5678561925888062,0.2,32.17249298095703,0.013417268,1250,0.7609016597270966,-1.7108570847660303,0.15302734375,0.0003,90.97533501796424
14,4,8192,582,-22.097987,680.9166666666666,-0.005462019670085283,0.5650583505630493,0.2,18.111583709716797,0.008744152,1260,0.7194961607456207,-1.6987409226596355,0.053857421875,0.0003,97.6207653991878
17,5,10240,575,-15.323106499999998,677.6428571428571,-0.0001800220357836224,0.5497167706489563,0.2,160.82229614257812,0.011496812,1270,0.8539300560951233,-1.6696340151131153,0.10185546875,0.0003,48.626835108082744
20,6,12288,596,-33.10739976470589,697.2941176470588,0.0016203047463932308,0.549283504486084,0.2,2.746668577194214,0.005837761,1280,0.9120155647397041,-1.6383757408708335,0.13583984375,0.0003,30.69374967208132
24,7,14336,584,-42.49988400000001,729.1578947368421,-0.0012082217064744328,0.5467116832733154,0.2,3.9707915782928467,0.003629003,1290,0.5506197512149811,-1.6334749523550272,0.065283203125,0.0003,112.37470433190465
27,8,16384,586,-50.24329986956521,706.7826086956521,-0.0030365969432750717,0.5493054389953613,0.2,0.8205145001411438,0.009191224,1300,0.905212439596653,-1.6357394225895405,0.1025390625,0.0003,27.833603337593377
31,9,18432,588,-50.73035368,730.24,-0.002675792678928701,0.5479716062545776,0.2,8.90139102935791,0.0032354365,1310,0.6131616532802582,-1.6349656648933888,0.0421875,0.0003,152.24564271979034
