time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction
26,-309.30814155813954,22528,858,521.1395348837209,11,-0.7576128087937832,0.0003,159.25778283178806,-0.0021834874773048797,87.9932861328125,1330,0.2,0.8832453638315201,0.005874792,0.06806640625
28,-304.07234817021276,24576,854,519.1276595744681,12,-0.6891052747145295,0.0003,90.92706016004085,-0.0026164237540797332,9.097686767578125,1340,0.2,0.8913711160421371,0.0044586053,0.08427734375
30,-295.59544578846146,26624,862,509.61538461538464,13,-0.7597552074119449,0.0003,92.26158622205257,-0.0026012260233983396,8.9025297164917,1350,0.2,0.9371783584356308,0.0056258016,0.08662109375
32,-291.8655922807017,28672,871,500.0701754385965,14,-0.6937114683911204,0.0003,136.7102327182889,-0.004554538917727768,9.465229034423828,1360,0.2,0.9161123856902122,0.009635052,0.095703125
35,-286.44017838709675,30720,870,494.9032258064516,15,-0.6654744166880846,0.0003,161.97905013561248,-0.002691324133775197,438.03167724609375,1370,0.2,0.8753673210740089,0.00534957,0.03017578125
37,-283.7501840757576,32768,871,490.95454545454544,16,-0.7110770050436258,0.0003,108.05038484185934,-0.000879674413590692,313.40625,1380,0.2,0.937184676527977,0.0045641577,0.041357421875
39,-275.63700529166664,34816,876,482.52777777777777,17,-0.7620268385857344,0.0003,88.30589052960276,-0.003955879420391284,6.051806449890137,1390,0.2,0.9464674741029739,0.009886151,0.08564453125
42,-274.7812668,36864,872,487.04,18,-0.6155891151167452,0.0003,171.78625802397727,-0.0015306829853216186,15.592546463012695,1400,0.2,0.9157897010445595,0.0050540646,0.04677734375
44,-279.4012360253165,38912,877,488.72151898734177,19,-0.7129167618229986,0.0003,64.37874853163957,-0.0005574039845669176,4.9724345207214355,1410,0.2,0.9464751593768597,0.0061968844,0.041845703125
47,-280.7349249506173,40960,860,494.4691358024691,20,-0.6213223008438945,0.0003,168.78920650184153,-0.004836552264896455,18.6978816986084,1420,0.2,0.7289561331272125,0.0045645908,0.0556640625
