time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/entropy_loss
666,219136,107,-5.528008560000001,728.22,328,63.419517517089844,0.44089847803115845,0.0043463972,0.0003,-0.0028822760519688017,1060,0.0595703125,207.89888748526573,0.2,-0.7781339721754194
665,221184,108,-4.44109147,730.75,332,83.00846862792969,0.5140344798564911,0.009492043,0.0003,-0.0026162042246141936,1070,0.095068359375,95.88659671843052,0.2,-0.7747037041932344
665,223232,109,-6.739930280000003,732.92,335,57.53858184814453,0.7548677176237106,0.0073639397,0.0003,-0.0025022868649102747,1080,0.070166015625,78.73834704756737,0.2,-0.8064968472346663
666,225280,110,-4.264681530000001,725.94,338,7.4756693840026855,0.7697072327136993,0.0050575957,0.0003,-0.004169225480291061,1090,0.08662109375,29.449316473305224,0.2,-0.8042300395667553
664,227328,111,-1.5217014599999983,725.28,342,51.97995376586914,0.46437758207321167,0.0056945346,0.0003,-0.003414597570008482,1100,0.0650390625,222.75951373577118,0.2,-0.8019087539985776
662,229376,112,-0.7331138899999988,719.86,345,8.043540954589844,0.6057302951812744,0.0110705085,0.0003,-0.0027315705599903596,1110,0.105029296875,84.97688926905394,0.2,-0.8249013181775808
663,231424,113,1.4984216400000003,705.06,348,109.76490020751953,0.521878719329834,0.0047927173,0.0003,-0.0036017101316247135,1120,0.049755859375,132.06354265660048,0.2,-0.8675317727029324
663,233472,114,3.4069230599999996,700.67,351,98.10626983642578,0.6322920918464661,0.017556736,0.0003,-0.004993267200188711,1130,0.067822265625,121.97168276309966,0.2,-0.6956981820985675
663,235520,115,1.6171649000000001,700.74,355,39.510398864746094,0.5842175185680389,0.008314167,0.0003,-0.002141115884296596,1140,0.04853515625,87.1011638969183,0.2,-0.7917023258283734
661,237568,116,0.35228119000000035,699.15,359,80.3962631225586,0.7927559614181519,0.0062578786,0.0003,-0.0016264263169432525,1150,0.092578125,14.928577362746001,0.2,-0.8997378934174776
660,239616,117,1.3949005600000013,697.51,362,4.341797351837158,0.5595991313457489,0.0053773955,0.0003,-0.0025418973273190204,1160,0.0640625,85.41096286922694,0.2,-0.8226767845451832
659,241664,118,2.3157740500000012,704.22,366,127.6856460571289,0.4868367314338684,0.004616251,0.0003,-0.0010188504304096569,1170,0.02275390625,196.46400671899318,0.2,-0.8164288491010666
660,243712,119,3.67940019,713.53,369,2.7434122562408447,0.7458048164844513,0.0053650863,0.0003,-0.0024032724162680098,1180,0.09375,24.8117892421782,0.2,-0.8652239689603448
659,245760,120,3.7423589199999996,715.73,372,10.817826271057129,0.40726351737976074,0.004863709,0.0003,-0.0018315224777325056,1190,0.03955078125,96.42627861499787,0.2,-0.8242317797616124
659,247808,121,4.986090560000002,712.32,375,2.7056074142456055,0.8176324963569641,0.005520191,0.0003,-0.0023151150773628613,1200,0.051806640625,17.751639772951602,0.2,-0.8740071652457118
660,249856,122,6.39219706,707.49,378,26.658369064331055,0.5497734844684601,0.004126168,0.0003,-0.002229552890639752,1210,0.034033203125,108.46344178467989,0.2,-0.8266022035852074
658,251904,123,7.252464879999999,691.93,382,74.39869689941406,0.5315466821193695,0.0035621475,0.0003,-0.0025169216220092493,1220,0.057470703125,113.02628978788853,0.2,-0.7965640882030129
753,2048,1,-375.1,502.25,2,43.32514190673828,0.6417056322097778,0.0049948385,0.0003,-0.0019188951671821996,1230,0.0541015625,95.56994209587575,0.2,-0.8016157435253263
638,4096,2,-429.7714285714286,548.2857142857143,6,20.67051887512207,0.4257623553276062,0.010317873,0.0003,-0.0026574445702863157,1240,0.056201171875,169.74971941113472,0.2,-0.7712021065875888
692,6144,3,-458.0799999999999,553.8,8,51.768577575683594,0.6571017801761627,0.004796914,0.0003,-0.0027362082080799157,1250,0.04873046875,109.95509351789951,0.2,-0.8279636869207024
