rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss
674.0,362,684,121,64.81084799,247808,0.004903516,-0.791117687150836,0.8092927187681198,79.2721625674516,1200,0.0003,4.089477062225342,0.2,0.082470703125,-0.002272083693242166
669.0,365,684,122,67.49728587,249856,0.0075806994,-0.744930661842227,0.6603231132030487,65.56642754301429,1210,0.0003,17.66340446472168,0.2,0.090576171875,-0.002934923460270511
675.23,367,684,123,66.98886353,251904,0.0045431755,-0.6662053333595395,0.8073249459266663,64.61150241941213,1220,0.0003,6.392266750335693,0.2,0.046875,-0.0027542297040781703
743.5,2,893,1,-534.7249999999999,2048,0.04074864,-0.5599513488821686,0.8085113167762756,110.90345747917891,1230,0.0003,40.34770202636719,0.2,0.15263671875,-0.01005983578361338
653.3333333333334,5,789,2,-414.2749999999999,4096,0.02265124,-0.6954406952485442,0.1393744945526123,82.95941016674041,1240,0.0003,7.490143299102783,0.2,0.111328125,-2.308480688952841e-05
611.4444444444445,7,785,3,-395.95000000000005,6144,0.0137627255,-0.6091839698143303,0.7875162810087204,88.5690895318985,1250,0.0003,50.31934356689453,0.2,0.03017578125,-0.0024157990206731482
617.2307692307693,10,769,4,-417.6307692307692,8192,0.011445376,-0.6949900656938552,0.8998715952038765,42.95361591875553,1260,0.0003,9.671368598937988,0.2,0.072705078125,-0.0035800875411950983
601.8823529411765,13,754,5,-401.47058823529414,10240,0.005220894,-0.649875590391457,0.8866840824484825,77.55218656361103,1270,0.0003,26.352947235107422,0.2,0.048388671875,-0.0010026708114310168
600.9,16,758,6,-392.4375,12288,0.0048142034,-0.683164794743061,0.9578946530818939,29.845534162223338,1280,0.0003,9.55244255065918,0.2,0.042529296875,-2.771365689113736e-05
591.9583333333334,18,757,7,-385.3895833333333,14336,0.016347405,-0.7057051844894886,0.9770755600184202,27.565996197611092,1290,0.0003,6.219949722290039,0.2,0.135009765625,-0.006853422914718976
