time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss
196608,672,292,840.93,96,-4.9512996099999995,0.2,950,0.14150390625,30.789472560863942,0.011739995,-0.004272449898417107,0.9036154672503471,0.0003,0.454189270734787,-0.768339410610497
198656,673,294,833.55,97,-1.2500183299999983,0.2,960,0.04365234375,109.40947982259095,0.0047309995,-0.0026170602744969075,0.783412367105484,0.0003,3.405679225921631,-0.7642486827448011
200704,674,297,831.09,98,-5.403813180000001,0.2,970,0.04970703125,182.461309120059,0.006742294,-0.0037498112134926485,0.6357204616069794,0.0003,85.85284423828125,-0.7233360392972827
202752,674,300,829.39,99,-3.9056919000000017,0.2,980,0.012890625,128.1994339160621,0.0039997986,-0.0016210882655286695,0.7367044389247894,0.0003,241.83523559570312,-0.790973030589521
204800,675,303,831.31,100,-4.90372371,0.2,990,0.04365234375,197.58844496011733,0.011051669,-0.006050355718252831,0.5968058407306671,0.0003,78.34232330322266,-0.7315907375887036
206848,675,306,833.85,101,-3.7511779099999982,0.2,1000,0.049853515625,105.96788081005215,0.0074867457,-0.003534325627697399,0.7496829926967621,0.0003,30.23434066772461,-0.7713469311594963
208896,676,308,828.18,102,-1.1927472799999987,0.2,1010,0.020751953125,105.71828168779612,0.0067779482,-0.002943914182469598,0.609600156545639,0.0003,252.597412109375,-0.6766052523627877
210944,676,311,826.31,103,2.0127468500000014,0.2,1020,0.025634765625,146.68425776958466,0.0076579084,-0.001349858096364187,0.6387821137905121,0.0003,78.39351654052734,-0.6688171295449138
212992,677,314,813.39,104,0.6283107600000014,0.2,1030,0.06943359375,121.12746046930552,0.0139472,-0.005727452487190021,0.7017008662223816,0.0003,54.11912536621094,-0.5786519937217236
215040,678,316,804.43,105,3.378308470000001,0.2,1040,0.02607421875,178.69786760807037,0.0030248102,-0.0030776907049585136,0.6435595154762268,0.0003,12.313633918762207,-0.783727633021772
217088,679,319,782.74,106,9.25113782,0.2,1050,0.07421875,143.2846551954746,0.010290428,-0.002973807800299255,0.6978492736816406,0.0003,105.97183227539062,-0.6999013626947999
219136,680,321,750.3,107,5.508460359999998,0.2,1060,0.0478515625,154.85744380056857,0.003597262,-0.0037900478771916825,0.4593358635902405,0.0003,11.747410774230957,-0.7471988841891288
221184,681,324,727.1,108,9.79888581,0.2,1070,0.0115234375,326.6829950034618,0.003851952,-0.001297841136693023,0.5794206857681274,0.0003,372.7276306152344,-0.7869173053652048
223232,681,327,728.1,109,13.81156112,0.2,1080,0.078369140625,182.8054375708103,0.0124727115,-0.0047214223723131,0.6267629861831665,0.0003,27.9437198638916,-0.7728973217308521
225280,682,329,703.65,110,18.21669289,0.2,1090,0.081103515625,91.1247588314116,0.0068992665,-0.003809498850023374,0.623721569776535,0.0003,10.479451179504395,-0.6914021089673043
227328,683,332,692.14,111,19.977659400000004,0.2,1100,0.060888671875,127.43151987195014,0.010987921,-0.0006917836526554311,0.581108033657074,0.0003,33.94894027709961,-0.770737293176353
229376,685,334,662.87,112,24.840506080000004,0.2,1110,0.098486328125,92.91942158043385,0.006184791,-0.0011700097085849848,0.5598585903644562,0.0003,47.78492736816406,-0.665598107688129
231424,687,336,624.33,113,25.0040319,0.2,1120,0.0427734375,201.989376527071,0.008307081,-0.0033546489266882418,0.5566219389438629,0.0003,42.55570983886719,-0.7250978406518698
233472,687,339,611.63,114,25.053372529999997,0.2,1130,0.045703125,318.931507730484,0.004529053,-0.003753955476349802,0.6040552854537964,0.0003,77.38874053955078,-0.7516389090567828
235520,688,342,599.31,115,27.323312209999994,0.2,1140,0.08681640625,133.6652841076255,0.0075972746,-0.002435765445261495,0.7016826570034027,0.0003,52.8865966796875,-0.7352911809459328
237568,689,344,588.68,116,29.824401880000003,0.2,1150,0.046337890625,100.69539128690958,0.0044899364,-0.00027835968139697795,0.5560417473316193,0.0003,21.121009826660156,-0.7189033769071103
239616,690,346,568.11,117,29.964973020000002,0.2,1160,0.044091796875,90.14262766316533,0.003706925,-0.00448524245111912,0.6363981068134308,0.0003,6.989503860473633,-0.5726553312502801
241664,691,349,564.04,118,34.234795649999995,0.2,1170,0.03076171875,215.46890785396099,0.0021167132,-0.0008118536919937469,0.49863219261169434,0.0003,12.436727523803711,-0.6062802457250654
243712,692,351,558.3,119,33.08665583,0.2,1180,0.098779296875,79.60878294333816,0.006925031,-0.0029381273096078077,0.39188098907470703,0.0003,21.123720169067383,-0.671585164219141
245760,693,354,536.15,120,36.93863785,0.2,1190,0.04951171875,184.31876908242702,0.008616124,-0.001219852586655179,0.6860659718513489,0.0003,188.21441650390625,-0.720198255032301
247808,695,356,514.08,121,41.66309038999999,0.2,1200,0.040771484375,135.97871800661088,0.0037540502,-0.0012539656723674852,0.6698143482208252,0.0003,33.97021484375,-0.7306066785007715
249856,695,359,510.65,122,40.501753210000004,0.2,1210,0.0609375,182.44513202607632,0.006914345,-0.0035472044051857664,0.686401903629303,0.0003,105.53491973876953,-0.7554763685911894
251904,696,361,503.58,123,43.96592165,0.2,1220,0.102099609375,92.17330138236284,0.0062475353,-0.005029665649271919,0.5878440737724304,0.0003,30.520816802978516,-0.7217217704281211
2048,1249,1,369.0,1,-223.46999999999997,0.2,1230,0.05810546875,184.30277504622936,0.00382826,-0.0038779255770350573,0.5452850461006165,0.0003,192.35545349121094,-0.6758693430572749
4096,1019,4,444.22222222222223,2,-242.15555555555557,0.2,1240,0.0970703125,169.87231721282006,0.00642337,-0.004143997842766112,0.4666939973831177,0.0003,40.705955505371094,-0.7992095792666077
6144,987,6,429.07142857142856,3,-228.16428571428568,0.2,1250,0.07490234375,92.4869455114007,0.0061640544,-0.0026902575737040024,0.7344243228435516,0.0003,57.07160568237305,-0.6744389373809099
