rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate
711.91,244,188416,47.31053925000001,92,770,-0.7295615920796991,0.00538667,23.125730514526367,0.2,121.10134790539742,0.055810546875,-0.002594119341665646,910,0.6915460228919983,0.0003
701.47,247,190464,49.46820094,93,769,-0.7911607805639506,0.0033981982,15.726978302001953,0.2,183.1457674369216,0.053662109375,-0.002669519095434225,920,0.5821788907051086,0.0003
683.61,250,192512,52.480730650000005,94,769,-0.7740434542298317,0.0028065129,45.751888275146484,0.2,101.80277362316846,0.034521484375,-0.0013745821346674348,930,0.6346059441566467,0.0003
686.27,253,194560,52.02633350000002,95,767,-0.7707087313756347,0.00790822,21.573923110961914,0.2,109.2420980423689,0.053515625,-0.002738727116957307,940,0.7012380361557007,0.0003
681.52,256,196608,56.04104459,96,767,-0.7467092752456665,0.010658643,3.3954570293426514,0.2,44.782272761315106,0.097705078125,0.0006772183973225765,950,0.7255672514438629,0.0003
668.72,258,198656,54.38861803999998,97,768,-0.7141271479427814,0.019919943,6.268298149108887,0.2,62.823512996733186,0.06611328125,-0.0009682171017630026,960,0.5703948736190796,0.0003
653.56,260,200704,52.62992496999999,98,769,-0.8054729953408242,0.0034593972,47.79707336425781,0.2,258.67145229578017,0.015966796875,-0.0021186530604609287,970,0.45366066694259644,0.0003
640.73,263,202752,51.45867424,99,770,-0.7687244774773717,0.0026732455,50.762176513671875,0.2,233.86301576197147,0.017578125,-0.0009117810084717348,980,0.617992103099823,0.0003
627.35,265,204800,57.20096216000001,100,770,-0.8191422246396541,0.0057872497,20.591764450073242,0.2,158.17014982104303,0.077099609375,-0.0023497471942391713,990,0.5885973274707794,0.0003
631.79,268,206848,60.31891672,101,771,-0.8013143083080649,0.00842931,13.880821228027344,0.2,109.47863504439593,0.0830078125,-0.0035358554780032135,1000,0.5884922742843628,0.0003
622.88,270,208896,59.05072759000001,102,771,-0.5773557337932289,0.020442178,13.302699089050293,0.2,73.53024606406689,0.053369140625,-0.0010625531169353053,1010,0.6903983950614929,0.0003
614.39,272,210944,60.161350899999995,103,773,-0.6949642589315772,0.0033389803,85.25611877441406,0.2,213.37592670321465,0.0291015625,-0.002032803626207169,1020,0.5366325378417969,0.0003
605.03,274,212992,61.55888213000001,104,774,-0.6971448339521885,0.009964209,40.02568435668945,0.2,88.63142771571874,0.045947265625,-0.00046145793166942897,1030,0.730615109205246,0.0003
601.03,277,215040,66.18765979999999,105,775,-0.6987889567390084,0.005122242,45.63425827026367,0.2,154.73525094091892,0.042138671875,-0.0029910167319940227,1040,0.7112348675727844,0.0003
594.6,279,217088,66.38737622000001,106,776,-0.7392423482611775,0.0061654206,314.29083251953125,0.2,129.37678255736827,0.05,-0.0016687252245901618,1050,0.7202701270580292,0.0003
585.79,282,219136,66.01913102,107,777,-0.6931454736739397,0.002010713,17.380847930908203,0.2,170.463652433455,0.0224609375,-0.0015368307587777963,1060,0.43823766708374023,0.0003
575.42,284,221184,67.1688388,108,777,-0.7230601588264107,0.006616432,5.4160261154174805,0.2,83.78451566323638,0.074267578125,-0.000574586761649698,1070,0.8078720271587372,0.0003
576.71,287,223232,65.65348730999999,109,776,-0.7441349031403661,0.0055834176,13.479738235473633,0.2,104.00736905932426,0.0357421875,-0.001058911257860018,1080,0.6863598227500916,0.0003
566.32,289,225280,65.79006367999999,110,777,-0.7101990753784776,0.012570714,3.8657033443450928,0.2,54.74055104628205,0.178955078125,-0.00313341618020786,1090,0.8813265636563301,0.0003
565.89,292,227328,67.00562552,111,777,-0.7324925197288394,0.008882726,19.093873977661133,0.2,144.23814046233892,0.1484375,-0.003639235857554013,1100,0.7753550261259079,0.0003
564.83,294,229376,65.89894023,112,778,-0.6749681333079934,0.005294354,6.520698070526123,0.2,77.94575657993555,0.05107421875,-0.00045529711787821724,1110,0.3603379726409912,0.0003
550.18,296,231424,64.98942611000001,113,779,-0.5991806115955114,0.0042355987,4.3147125244140625,0.2,44.81419460698962,0.063525390625,-0.001930899836588651,1120,0.8518825173377991,0.0003
538.51,298,233472,67.03770715,114,780,-0.74529611710459,0.011070669,13.001387596130371,0.2,98.49077736586332,0.06669921875,-0.0019611973606515677,1130,0.7992361932992935,0.0003
525.66,301,235520,66.81883932000001,115,782,-0.6891641955822706,0.004927345,21.30299186706543,0.2,123.95433165431022,0.041064453125,-0.003364412785958848,1140,0.7355906367301941,0.0003
518.44,303,237568,67.29582419000002,116,782,-0.7846676371991634,0.0074842004,6.107834815979004,0.2,98.32778312861919,0.089208984375,-0.004065767069914727,1150,0.6777872741222382,0.0003
521.78,305,239616,66.14416311999999,117,783,-0.693586703389883,0.012678795,1.33699369430542,0.2,94.98133272975683,0.118798828125,-0.005959070788958343,1160,0.5953833162784576,0.0003
522.41,308,241664,68.04610072,118,782,-0.7277806919068098,0.036424093,2.8654463291168213,0.2,49.760912525467575,0.168359375,-0.011064813780831174,1170,0.9093809574842453,0.0003
524.24,311,243712,66.97864122000001,119,782,-0.6628053605556488,0.0031915861,15.163504600524902,0.2,97.19145728498697,0.02802734375,-0.0018623042895342223,1180,0.5729771256446838,0.0003
514.85,313,245760,68.99259782,120,783,-0.7019480718299747,0.009760576,6.7909135818481445,0.2,75.23569484129548,0.1205078125,-0.0012034960200253408,1190,0.4453313946723938,0.0003
503.03,315,247808,69.98930613,121,784,-0.6862043250352144,0.0059213745,303.4570617675781,0.2,95.7590634316206,0.05,-0.0016755423603171948,1200,0.6240476667881012,0.0003
504.89,318,249856,72.14124496,122,783,-0.7156481262296438,0.00450129,66.58399200439453,0.2,215.9433321878314,0.01484375,-0.0004859725246205926,1210,0.5558463037014008,0.0003
508.03,321,251904,74.93557125,123,784,-0.6728297373279929,0.0067230402,11.806386947631836,0.2,99.60249364748597,0.048291015625,-0.0014433017957344418,1220,0.5236145853996277,0.0003
1000.0,3,2048,-270.3507125,1,676,-0.6957552025094629,0.0071745305,4.180603981018066,0.2,93.91844292879105,0.07451171875,-0.0003605660585890291,1230,0.7640632838010788,0.0003
1000.0,5,4096,-298.6841195,2,724,-0.7257321523502469,0.01822478,3.2143990993499756,0.2,52.68416700102389,0.19541015625,-0.008020001008117107,1240,0.6405470073223114,0.0003
761.75,7,6144,-261.784274,3,775,-0.6478329611942172,0.01299536,1.7713104486465454,0.2,41.774818655848506,0.130029296875,-0.0022587694118556103,1250,0.7792381048202515,0.0003
662.9166666666666,10,8192,-272.19926066666665,4,802,-0.7172945277765393,0.0102177635,12.057699203491211,0.2,107.17096204161643,0.029833984375,-0.0012358252235571854,1260,0.6059413850307465,0.0003
548.2777777777778,12,10240,-246.02170744444442,5,843,-0.7041922636330128,0.009246955,13.753486633300781,0.2,136.9972347483039,0.158740234375,-0.005182396300369874,1270,0.5773023664951324,0.0003
493.4166666666667,14,12288,-230.06974254166667,6,859,-0.6518638487905264,0.0026733913,89.35457611083984,0.2,220.6030122101307,0.02421875,-0.001094393363018753,1280,0.6621120572090149,0.0003
