time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
208896,866,241,25.536780339999996,102,456.47,1010,159.3808346092701,0.0003,0.7209473848342896,0.2,0.0036570164,81.6347427368164,-0.0030235653579438805,-0.7987288322299719,0.01806640625
210944,864,243,25.131459399999997,103,459.86,1020,104.18081348091364,0.0003,0.7669055163860321,0.2,0.011319479,9.799068450927734,-0.002204590524706873,-0.821411918476224,0.0896484375
212992,864,246,27.677448849999998,104,464.11,1030,152.5656919360161,0.0003,0.7732581943273544,0.2,0.004493392,31.82117462158203,-0.0010691175746615044,-0.8488779487088323,0.0298828125
215040,863,248,27.62375791,105,465.58,1040,199.73081769049168,0.0003,0.7257911860942841,0.2,0.009250671,99.32644653320312,-0.0049819157160527535,-0.7955951619893312,0.069140625
217088,830,261,28.447760179999996,106,467.38,1050,104.66175593733787,0.0003,0.8181302845478058,0.2,0.006167411,36.905086517333984,-0.004331086337697343,-0.8423362853005528,0.08017578125
219136,829,264,27.638159459999997,107,472.37,1060,122.96966094076633,0.0003,0.633645236492157,0.2,0.0043507055,5.41767692565918,-0.0033672751880658323,-0.7874822825193405,0.05595703125
221184,829,266,22.908952689999996,108,470.73,1070,126.31382674723864,0.0003,0.6097482442855835,0.2,0.008951108,12.298713684082031,-0.001428998452684027,-0.8723669456318021,0.05732421875
223232,827,269,25.33474179,109,474.28,1080,243.00137332975865,0.0003,0.664722204208374,0.2,0.0055124806,49.8941535949707,-0.0016407220835390035,-0.8314884746447205,0.039892578125
225280,827,272,27.82702221,110,477.33,1090,111.62577400207519,0.0003,0.6380357146263123,0.2,0.003841097,30.968549728393555,-0.003004118019453017,-0.7614421596750617,0.036181640625
227328,826,274,27.61061794,111,482.42,1100,104.05705451071262,0.0003,0.7723449468612671,0.2,0.003556012,9.779058456420898,-0.003192384005524218,-0.8172221709042787,0.032373046875
229376,825,277,29.77988683,112,487.62,1110,104.7929776750505,0.0003,0.7073714733123779,0.2,0.007790079,17.963459014892578,-0.0024995012718136422,-0.8490276323631406,0.04375
231424,826,280,37.13803503,113,491.35,1120,133.29820375740528,0.0003,0.5053035616874695,0.2,0.0025670214,79.06193542480469,-0.0007013480997557053,-0.7753609830513597,0.00556640625
233472,825,282,40.107103280000004,114,497.89,1130,195.41848497092724,0.0003,0.5291916728019714,0.2,0.0050929477,53.227909088134766,-0.0013804534071823582,-0.8378862351179123,0.048291015625
235520,825,285,43.00926043,115,499.22,1140,156.4632586956024,0.0003,0.6566478312015533,0.2,0.0053947754,32.8811149597168,-0.002636289469592157,-0.7735899530351162,0.077294921875
237568,825,287,48.38201223,116,500.43,1150,164.89485575705766,0.0003,0.7003077864646912,0.2,0.0053611826,13.408929824829102,-0.003306081987102516,-0.8062608009204268,0.03818359375
239616,826,289,48.17380212999999,117,498.1,1160,175.28590889275074,0.0003,0.5171526670455933,0.2,0.0050982134,53.62395095825195,-0.0032666310715285364,-0.7624647568911314,0.039794921875
241664,826,292,53.491146179999994,118,502.26,1170,128.5937626376748,0.0003,0.6790521442890167,0.2,0.0049294876,50.43856430053711,-0.004924463012139313,-0.8309361619874835,0.13466796875
243712,825,295,56.737448910000005,119,507.77,1180,152.61570243239402,0.0003,0.7923792153596878,0.2,0.0072021587,11.403142929077148,-0.00560689638077747,-0.702296326123178,0.074560546875
245760,825,297,59.352699869999995,120,508.76,1190,149.8575679898262,0.0003,0.6562337279319763,0.2,0.0036647157,66.21067810058594,-0.0009081483802219736,-0.6988515878096223,0.03125
247808,826,299,59.43491206000001,121,508.5,1200,90.37664494663477,0.0003,0.677417129278183,0.2,0.0050115804,10.62557601928711,-0.001102237301529385,-0.8491748671978712,0.06220703125
249856,827,302,63.739285640000006,122,506.74,1210,175.72358273789285,0.0003,0.5174433887004852,0.2,0.0045540896,34.194984436035156,-0.0006258651606913191,-0.7955626076087355,0.04951171875
251904,827,304,66.69233831000001,123,504.56,1220,108.90855970978737,0.0003,0.7207765281200409,0.2,0.0068875337,5.056756019592285,-0.002321670234960038,-0.8124663481488824,0.097607421875
2048,1021,2,22.4125,1,487.25,1230,107.63408471941948,0.0003,0.6967265903949738,0.2,0.014064088,2.564870834350586,-0.003566548187518492,-0.8092500722035766,0.113330078125
4096,1000,4,32.14,2,491.625,1240,27.08113448172808,0.0003,0.8289553821086884,0.2,0.009846567,6.503021717071533,-0.006680805975338444,-0.8347879601642489,0.14267578125
6144,983,6,16.605833333333333,3,482.4166666666667,1250,32.55262062102556,0.0003,0.7807578146457672,0.2,0.007076825,9.368618965148926,-0.004233867720176932,-0.6667865756899118,0.071923828125
8192,989,8,15.709444444444443,4,440.05555555555554,1260,50.79277906268835,0.0003,0.7745825201272964,0.2,0.007876933,37.03373718261719,-0.003852551316958852,-0.7623819986358285,0.0763671875
10240,996,10,14.22125,5,423.5,1270,69.20631174445153,0.0003,0.8001165241003036,0.2,0.008373572,18.91779899597168,-0.004061117911260226,-0.7846498740836978,0.114453125
12288,998,12,19.280344827586212,6,416.0689655172414,1280,70.69863704890012,0.0003,0.844161719083786,0.2,0.0059546996,13.502480506896973,-0.005890851718140766,-0.7509009290486575,0.09228515625
14336,986,14,13.031818181818181,7,423.90909090909093,1290,25.843298085033894,0.0003,0.9342552796006203,0.2,0.012661163,3.104133129119873,-0.0031455747594009154,-0.7437967203557492,0.106103515625
16384,985,16,13.071794871794868,8,415.53846153846155,1300,87.9761014983058,0.0003,0.7113942503929138,0.2,0.010766696,8.588926315307617,-0.0005662021001626271,-0.7192235931754112,0.09462890625
18432,994,18,13.763111111111106,9,406.3333333333333,1310,80.27484519779682,0.0003,0.8514164686203003,0.2,0.004485839,96.37621307373047,-0.0019804352530627513,-0.7271255947649479,0.048193359375
20480,1005,20,11.736153846153845,10,391.21153846153845,1320,84.73043860793113,0.0003,0.8238454610109329,0.2,0.0059204707,14.662262916564941,-0.003897159114785609,-0.7185151133686304,0.0275390625
22528,1012,22,6.3335593220338975,11,381.08474576271186,1330,126.89869097471237,0.0003,0.785322830080986,0.2,0.0031099129,30.262142181396484,-0.0013012285089644138,-0.6646569160744548,0.027392578125
24576,1015,24,10.341692307692306,12,376.84615384615387,1340,147.8496694624424,0.0003,0.7490583062171936,0.2,0.0041227536,47.16626739501953,-0.002505947842291789,-0.7051382515579462,0.020458984375
26624,1015,26,13.834647887323943,13,374.5633802816901,1350,28.44351352751255,0.0003,0.9262874275445938,0.2,0.0080775,7.343155860900879,-0.001762866425269749,-0.7745490994304418,0.083740234375
