time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction
8,21,-345.0960706551724,16384,544.9310344827586,747,-0.6945585805922747,14.961731910705566,1300,0.8658774197101593,0.2,-0.0033965040209295696,0.007282591,0.0003,123.17853788733483,0.085595703125
9,24,-356.63885947058816,18432,541.9117647058823,752,-0.6610096037387848,28.862483978271484,1310,0.8545444011688232,0.2,-0.003807014047197299,0.0085634235,0.0003,160.8610166966915,0.05673828125
10,27,-349.4241779729729,20480,538.027027027027,757,-0.681129190698266,51.600685119628906,1320,0.5893698930740356,0.2,-0.005997794827271719,0.0098535735,0.0003,331.95162530243397,0.068212890625
11,29,-344.6783726341463,22528,545.4146341463414,757,-0.6338070519268513,18.9419002532959,1330,0.9008796587586403,0.2,-0.0031566855373966972,0.0056037325,0.0003,113.11819090247154,0.0416015625
12,33,-345.17813243181814,24576,556.6590909090909,744,-0.5685855872929096,7.144261837005615,1340,0.9131374508142471,0.2,-0.0021887962844630237,0.005428202,0.0003,93.13227419406175,0.0478515625
13,35,-339.1198963125,26624,550.8541666666666,750,-0.594692637771368,23.680578231811523,1350,0.9337247163057327,0.2,-0.004190855465276399,0.007718659,0.0003,78.27333257347345,0.071826171875
14,38,-337.99683757692316,28672,546.0,744,-0.6944803522899747,22.133962631225586,1360,0.9075146019458771,0.2,-0.0047773109239642505,0.007968185,0.0003,115.84577948451042,0.075048828125
15,41,-333.2684826071428,30720,543.7678571428571,745,-0.6530652217566967,67.29130554199219,1370,0.8947678729891777,0.2,-0.0062813475422444755,0.0052462504,0.0003,157.3953564554453,0.053466796875
16,43,-326.63128881967214,32768,534.8360655737705,750,-0.6589073358103633,22.07655906677246,1380,0.9384122304618359,0.2,-0.0037021643307525664,0.005347125,0.0003,105.70294260829687,0.0857421875
17,46,-324.0600375076923,34816,531.0307692307692,754,-0.6628756640478969,11.967967987060547,1390,0.9370702728629112,0.2,-0.0015961405835696497,0.003760165,0.0003,107.24846063256264,0.051611328125
18,49,-323.77700829411765,36864,537.0,739,-0.6682163005694747,6.071155548095703,1400,0.9501944072544575,0.2,-0.005091413533227751,0.0056246775,0.0003,86.78264315128327,0.060888671875
19,52,-319.7491778194444,38912,537.1805555555555,741,-0.6591454250738025,327.59881591796875,1410,0.9546902142465115,0.2,-0.004870111801574239,0.012059605,0.0003,65.58747919350863,0.130810546875
