time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
672,362,119,243712,682.57,7.254897529999999,0.2,-0.0011555286280781729,112.81673919856549,0.0003,39.20332336425781,1180,0.003520073,-0.3988676771521568,0.03134765625,0.7278009951114655
672,365,120,245760,678.49,5.21481697,0.2,-0.001125279603729723,69.05908285453916,0.0003,9.014031410217285,1190,0.006680319,-0.7316503264009953,0.049267578125,0.6116122305393219
670,369,121,247808,683.24,5.175920120000003,0.2,-0.0043951781284704335,76.28022481054067,0.0003,7.582707405090332,1200,0.010497229,-0.8281337823718786,0.066259765625,0.7642792165279388
671,372,122,249856,693.34,6.86888569,0.2,-0.0006050224656064529,43.5327916547656,0.0003,302.56854248046875,1210,0.0037204674,-0.7419624343514443,0.03515625,0.7432007491588593
670,375,123,251904,697.42,4.021788829999997,0.2,-0.0015226424220600165,41.06624442562461,0.0003,13.18269157409668,1220,0.007482269,-0.8206147367134691,0.106787109375,0.7709078043699265
678,3,1,2048,675.0,-402.5458716666667,0.2,-0.0023006286755844485,92.76087092757226,0.0003,2.6053802967071533,1230,0.007297273,-0.8083383718505501,0.061962890625,0.5760817527770996
726,5,2,4096,709.6,-452.0341030000001,0.2,-0.0009041795812663623,127.05495369136334,0.0003,5.542174339294434,1240,0.005364711,-0.7692733183503151,0.018994140625,0.4797828793525696
681,9,3,6144,675.4444444444445,-472.7052103333333,0.2,-0.0009943106335413177,107.48195087313653,0.0003,15.404742240905762,1250,0.008428104,-0.8272330246865749,0.046484375,0.7087608277797699
691,11,4,8192,712.0909090909091,-476.1775186363637,0.2,-0.0012999050439248094,218.7511601984501,0.0003,120.28657531738281,1260,0.0053826207,-0.7954680055379868,0.01318359375,0.44378548860549927
663,15,5,10240,688.2857142857143,-460.9716485,0.2,-0.002658159034945129,76.77672047764062,0.0003,17.04493522644043,1270,0.012988849,-0.698725412786007,0.06904296875,0.734548807144165
649,18,6,12288,727.25,-502.92676193750003,0.2,-0.0008719453609955963,102.03473533689976,0.0003,9.489880561828613,1280,0.010730412,-0.8439906369894743,0.05693359375,0.7217159867286682
660,21,7,14336,739.8421052631579,-508.00943547368433,0.2,-0.001500485368887894,58.53989087790251,0.0003,46.16478729248047,1290,0.008875202,-0.8619425743818283,0.06611328125,0.8997082263231277
656,24,8,16384,748.3809523809524,-517.7026443809525,0.2,3.2211423240369184e-05,87.96537545025349,0.0003,83.10240173339844,1300,0.010651323,-0.7716710990294814,0.044091796875,0.8456022292375565
635,29,9,18432,759.9166666666666,-520.3973861666667,0.2,-0.0011212765166419558,99.2805858373642,0.0003,97.29064178466797,1310,0.004438391,-0.8699985655024648,0.03671875,0.818350613117218
637,32,10,20480,737.4074074074074,-528.4570178888889,0.2,-0.0018936067142931278,136.16872848570347,0.0003,18.34908676147461,1320,0.0076170163,-0.7724963324144483,0.045361328125,0.7738476097583771
646,34,11,22528,722.6129032258065,-523.5977462258064,0.2,-0.006306431901612087,103.7173440605402,0.0003,22.150867462158203,1330,0.008947134,-0.8716786544770002,0.090673828125,0.3335394263267517
618,39,12,24576,739.4242424242424,-527.5164269696969,0.2,-0.002216138946459978,154.231993496418,0.0003,47.485008239746094,1340,0.013486324,-0.7274237181991339,0.06416015625,0.69675013422966
630,42,13,26624,733.25,-531.5369970833332,0.2,-0.0056923728741821835,44.1705327257514,0.0003,10.007315635681152,1350,0.007431576,-0.6408853027038276,0.064697265625,0.9448265619575977
628,45,14,28672,747.2894736842105,-539.818589973684,0.2,-0.0025594287388230443,120.00890453308821,0.0003,122.52776336669922,1360,0.0042373585,-0.8199242759495974,0.047021484375,0.6057879626750946
626,48,15,30720,745.525,-548.2596142,0.2,-0.0025129503330390433,66.69046163484454,0.0003,3.37782883644104,1370,0.0075020846,-0.878116961196065,0.077099609375,0.8888481259346008
632,51,16,32768,740.9545454545455,-542.2181592500001,0.2,-0.0020292091408919076,53.679574839770794,0.0003,45.90799331665039,1380,0.0053501376,-0.9104656500741839,0.07412109375,0.6844597160816193
624,55,17,34816,752.2173913043479,-540.970472826087,0.2,-0.0029911193596490193,147.28055947422982,0.0003,24.178224563598633,1390,0.009562583,-0.8122790904715658,0.0875,0.7079356908798218
627,58,18,36864,734.44,-530.95996452,0.2,-0.003363002023252193,57.2788549259305,0.0003,3.645503282546997,1400,0.013070152,-0.9087007718160749,0.197509765625,0.8510869443416595
632,61,19,38912,738.6730769230769,-545.3745258653846,0.2,-0.0040489907150913496,149.92624906599522,0.0003,183.2817840576172,1410,0.009784563,-0.7747617289423943,0.092041015625,0.7125501334667206
628,65,20,40960,729.8035714285714,-532.2890565535715,0.2,-0.001742567586916266,34.14675233662128,0.0003,11.68393325805664,1420,0.0060335016,-0.8479161972180009,0.07470703125,0.7852528691291809
634,67,21,43008,721.6440677966102,-525.7156844067798,0.2,-0.001479533000747324,132.67404732853174,0.0003,10.628314971923828,1430,0.009316552,-0.8194387665018439,0.069091796875,0.8100955635309219
634,71,22,45056,730.7704918032787,-525.5548125737706,0.2,-0.0007009872708295007,112.95609837174416,0.0003,35.11091613769531,1440,0.003433649,-0.7934266075491905,0.03076171875,0.7945358902215958
631,74,23,47104,734.65625,-520.25530221875,0.2,-0.0025811491243075578,59.72268832921982,0.0003,4.243954658508301,1450,0.0034350003,-0.8307659327983856,0.039111328125,0.9288846999406815
636,77,24,49152,725.2537313432836,-517.4955861044776,0.2,-0.0010096240537677658,106.77610918879509,0.0003,11.018516540527344,1460,0.008774857,-0.8921184431761503,0.117138671875,0.83210788667202
632,80,25,51200,730.0428571428571,-511.88557281428575,0.2,-0.000946501344878925,48.40225352942944,0.0003,6.184389114379883,1470,0.006830249,-0.9040254913270473,0.0873046875,0.9448470398783684
636,83,26,53248,719.4864864864865,-508.4956389729729,0.2,-0.001627661926613655,76.510757843405,0.0003,23.05347442626953,1480,0.007981138,-0.8270656010136008,0.110498046875,0.8793725147843361
641,86,27,55296,714.2467532467532,-506.20039244155845,0.2,-0.001238712132180808,79.38388215899468,0.0003,109.38910675048828,1490,0.007814186,-0.8516633687540889,0.116357421875,0.8664136677980423
642,89,28,57344,715.379746835443,-501.46309159493666,0.2,-0.0011959858500631526,233.5423259794712,0.0003,62.97162628173828,1500,0.0030964897,-0.7043974831700325,0.0228515625,0.4866676330566406
643,92,29,59392,713.6951219512196,-499.67637698780493,0.2,-0.001914587480132468,73.96240888983012,0.0003,9.469709396362305,1510,0.0027875109,-0.8198384664952755,0.0255859375,0.8918807879090309
646,94,30,61440,710.4302325581396,-502.2467044651164,0.2,-0.0009171739548037294,121.53825400918723,0.0003,41.70347213745117,1520,0.010247827,-0.8570195803418755,0.067626953125,0.8265229016542435
648,97,31,63488,709.2921348314607,-499.06161524719096,0.2,-0.0006479781884991098,91.51963715702296,0.0003,59.157135009765625,1530,0.0029895715,-0.8443065458908677,0.02802734375,0.5737667977809906
649,100,32,65536,701.6086956521739,-497.5427574239129,0.2,-0.0008258484875113936,102.22326947897673,0.0003,74.41141510009766,1540,0.0049746605,-0.789388439618051,0.078173828125,0.8769498988986015
652,103,33,67584,702.90625,-493.8654883125,0.2,-0.0009202736251609167,154.03109832406045,0.0003,21.935903549194336,1550,0.0031684106,-0.7810650778934359,0.01904296875,0.7346318364143372
656,106,34,69632,692.38,-485.10018650999996,0.2,-0.0018087909993482754,104.69925146400928,0.0003,148.7281951904297,1560,0.0032852166,-0.7391433855518699,0.040673828125,0.8561662137508392
654,109,35,71680,689.85,-479.35889884000005,0.2,-0.001433006749357446,230.1780904710293,0.0003,39.03079605102539,1570,0.0056254505,-0.7423853961750865,0.03271484375,0.6248995959758759
658,111,36,73728,687.63,-478.85254893000007,0.2,-0.00031242443292285317,93.68891766369343,0.0003,29.064586639404297,1580,0.008330927,-0.787429423443973,0.066015625,0.8817749693989754
664,114,37,75776,678.98,-475.6182271600001,0.2,-0.002827351214364171,81.0593678355217,0.0003,48.63887023925781,1590,0.0039007247,-0.7050971725955606,0.0673828125,0.8956386968493462
667,116,38,77824,671.76,-471.6025882,0.2,-0.006520336035464425,72.2410496711731,0.0003,46.05069351196289,1600,0.00971664,-0.9235923085361719,0.076904296875,0.9150566831231117
669,119,39,79872,667.02,-468.93066459999994,0.2,-0.001327549597772304,65.25945855379105,0.0003,8.68535041809082,1610,0.0042163227,-0.6058850823901594,0.02392578125,0.9244403168559074
673,121,40,81920,660.31,-461.3165592700001,0.2,0.0013357912554056383,50.70543447583914,0.0003,3.641564130783081,1620,0.020641046,-0.9125582018867135,0.09541015625,0.9511280916631222
676,124,41,83968,644.49,-449.91605559999994,0.2,0.00021148570522200316,71.03917608112097,0.0003,4.40214729309082,1630,0.007944193,-0.8987399589270353,0.06171875,0.9090572223067284
679,126,42,86016,638.25,-444.43787592,0.2,-0.0017789444093068596,95.71454151272773,0.0003,35.55704879760742,1640,0.0087367,-0.7509420439600945,0.071533203125,0.9109144136309624
680,129,43,88064,645.57,-439.36754515000007,0.2,-0.0014228819651179946,148.36426772475244,0.0003,69.70410919189453,1650,0.0032904511,-0.6935961017385125,0.019921875,0.8583882749080658
685,131,44,90112,632.48,-429.8077991799999,0.2,-0.0013583334326540352,63.57916911840439,0.0003,4.203195571899414,1660,0.008222487,-0.8092802036553621,0.055615234375,0.9083678647875786
682,134,45,92160,621.07,-418.2820446,0.2,-0.0032377100567828167,115.82456519007683,0.0003,36.127464294433594,1670,0.0064394334,-0.7515765657648444,0.058837890625,0.8658936470746994
