time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction
7,416.5882352941176,14336,961,-193.73546247058823,14,0.0033878104,-0.7117175709456205,0.9062207117676735,0.2,1290,5.805294990539551,0.0003,-0.002205763099482283,119.33443216532469,0.055029296875
8,423.8157894736842,16384,956,-205.62781484210527,17,0.005567213,-0.6473749074153602,0.8956173360347748,0.2,1300,20.26011848449707,0.0003,-0.0037795500014908613,124.46801075339317,0.06435546875
9,413.6363636363636,18432,957,-200.9236443181818,19,0.0073940163,-0.7552932439371943,0.44164490699768066,0.2,1310,115.5811538696289,0.0003,-0.00875033411430195,188.19736118465661,0.103955078125
10,422.6458333333333,20480,938,-202.20761322916667,21,0.0030239366,-0.7301413664594293,0.8667951822280884,0.2,1320,315.2127685546875,0.0003,-0.0017973420308408095,148.2863724693656,0.036083984375
11,431.45098039215685,22528,940,-202.10641082352942,23,0.00682188,-0.7107454337179661,0.8883423656225204,0.2,1330,11.635990142822266,0.0003,-0.0036074915682547727,84.09092893898487,0.065380859375
12,438.7037037037037,24576,931,-202.12297722222223,26,0.003086463,-0.6732291677966714,0.8805909380316734,0.2,1340,3.800678014755249,0.0003,-0.0016813733527669683,64.6117807842791,0.031884765625
13,454.5689655172414,26624,930,-207.55160324137927,28,0.009265376,-0.692074621282518,0.8937416449189186,0.2,1350,1.8223533630371094,0.0003,-0.004962516227533342,64.78083730265499,0.103564453125
14,459.35483870967744,28672,921,-205.68280741935482,31,0.0048374077,-0.6318269038572908,0.8234135508537292,0.2,1360,4.925265312194824,0.0003,-0.0008236057095928117,110.96004429608584,0.0556640625
15,462.24242424242425,30720,921,-204.70644846969697,33,0.014982559,-0.6408029649406671,0.91587233543396,0.2,1370,22.06657600402832,0.0003,-0.003642202147239004,71.15827327594161,0.09814453125
16,449.06944444444446,32768,928,-205.64445818055552,35,0.004427137,-0.6707072684541344,0.8860984295606613,0.2,1380,3.3729569911956787,0.0003,-0.0010780567972688004,84.68032313883305,0.054833984375
17,444.61538461538464,34816,934,-200.6343724102564,37,0.0022638487,-0.6105566624552011,0.7094483077526093,0.2,1390,292.1342468261719,0.0003,-0.0007817902576789492,251.02789915502072,0.0130859375
18,444.144578313253,36864,928,-200.6209758192771,39,0.009147999,-0.6393169429153204,0.8178713023662567,0.2,1400,404.12939453125,0.0003,-0.0042755929454870055,180.2317920923233,0.103955078125
19,446.4022988505747,38912,926,-198.9462657586207,41,0.00423693,-0.6811820356175303,0.7760411649942398,0.2,1410,47.39596176147461,0.0003,-0.0022408345241274217,168.6029862046242,0.024462890625
20,448.2967032967033,40960,925,-197.68111370329666,44,0.0032966586,-0.6752907363697886,0.8535861521959305,0.2,1420,26.18700408935547,0.0003,-0.002300474760704674,114.63525177240372,0.034716796875
21,438.5612244897959,43008,931,-197.57155946938775,46,0.004064954,-0.6433680083602666,0.9043052867054939,0.2,1430,12.763629913330078,0.0003,-0.0012913720012875274,71.14413146749139,0.041748046875
