time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss
188416,92,452.0,810,59.33930078,232,0.001270317,0.00013488275799318218,17.82162094116211,0.0767578125,910,112.49053238928317,0.7805505394935608,0.0003,0.2,-0.7292770924046635
190464,93,451.49,810,58.317792659999995,234,0.006277716,-0.004602430938393809,14.044984817504883,0.047802734375,920,110.56766681671142,0.7447568476200104,0.0003,0.2,-0.6889384631067514
192512,94,448.74,811,57.95990796000001,237,0.0072987177,-0.005171963151587989,27.605865478515625,0.0478515625,930,211.19664206802844,0.4630920886993408,0.0003,0.2,-0.6944832563400268
194560,95,450.09,813,58.012221,239,0.0066399835,-0.00253309608597192,368.44403076171875,0.0720703125,940,104.22391419112682,0.49038392305374146,0.0003,0.2,-0.7310863479971885
196608,96,459.78,813,56.89125544,241,0.0025997716,-0.0005486629583174363,7.126512050628662,0.0328125,950,98.95611308515072,0.6624327301979065,0.0003,0.2,-0.7658902857452631
198656,97,453.59,815,59.20768365,243,0.01549528,-0.0038523114228155462,18.052751541137695,0.078076171875,960,163.27440702170134,0.6692952811717987,0.0003,0.2,-0.6814262134954333
200704,98,461.84,814,59.85489946,246,0.009851141,-0.0025144686158455444,335.18023681640625,0.07783203125,970,187.2561024606228,0.3633200526237488,0.0003,0.2,-0.7770246943458915
202752,99,459.63,814,56.536886769999995,248,0.006369911,-0.002746886891691247,21.3709659576416,0.067529296875,980,85.23800566717982,0.6634060442447662,0.0003,0.2,-0.707108705677092
204800,100,452.98,816,58.088506849999995,250,0.0023172153,-0.0022327942380798048,85.62677001953125,0.010009765625,990,249.11059087216853,0.5002410709857941,0.0003,0.2,-0.682421737909317
206848,101,442.28,817,56.14263910000002,252,0.0034649004,-0.001383985525171738,20.308622360229492,0.01025390625,1000,170.58664465248586,0.6863998472690582,0.0003,0.2,-0.6813989674672485
208896,102,443.7,818,58.60579842999999,255,0.008434688,-0.002665043678280199,334.970703125,0.072216796875,1010,179.0737989038229,0.7987015694379807,0.0003,0.2,-0.6732981322333217
210944,103,438.77,819,59.87002864,257,0.0043660784,-0.003192611337726703,8.234375953674316,0.03037109375,1020,97.78149995356799,0.8095337897539139,0.0003,0.2,-0.6936715787276626
212992,104,441.99,820,61.740673290000004,259,0.004178662,-0.001765106302627828,337.2849426269531,0.0513671875,1030,115.69981033802033,0.7974035888910294,0.0003,0.2,-0.6674483451992274
215040,105,450.74,821,64.93260190999999,261,0.0073504183,-0.0023234949410834817,11.525222778320312,0.0595703125,1040,103.53250979781151,0.8562814444303513,0.0003,0.2,-0.7135399993509054
217088,106,453.35,821,61.910567289999996,264,0.007739966,-0.003636975833796896,266.5654296875,0.086767578125,1050,98.64206042140722,0.7386645674705505,0.0003,0.2,-0.7461325768381357
219136,107,461.37,821,64.54893620000001,266,0.0031838133,-0.0011461782502010464,24.04634666442871,0.030712890625,1060,88.26046318113804,0.8228087425231934,0.0003,0.2,-0.6705875936895609
221184,108,460.42,823,60.75773385,268,0.007482874,-0.0008954183780588209,25.550273895263672,0.042626953125,1070,98.31187839657068,0.6181229054927826,0.0003,0.2,-0.6959478568285704
223232,109,451.88,824,62.990824700000005,270,0.00780157,-0.0032772214013675693,279.5159912109375,0.0994140625,1080,211.64459234178065,0.3796941637992859,0.0003,0.2,-0.76040573194623
225280,110,451.09,825,69.32338243,272,0.014235519,-0.0036842035027802923,9.756346702575684,0.131298828125,1090,118.80757635384798,0.46715426445007324,0.0003,0.2,-0.7356286663562059
227328,111,454.02,827,66.13062699999999,274,0.00892392,-0.0030495720122416968,9.635929107666016,0.06865234375,1100,107.50346859544516,0.8806690499186516,0.0003,0.2,-0.64974599853158
229376,112,438.72,829,69.91572948,276,0.0050114905,-0.002809231464198092,124.66690063476562,0.0583984375,1110,199.31045877337456,0.7751531451940536,0.0003,0.2,-0.7338956920430064
