time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
79,-3.9150020800000016,840.93,503,161792,321,-1.9486282154917718,0.0003,780,0.6442947387695312,0.2,115.79073333740234,166.54667930155992,0.062109375,-0.005224299215478822,0.0061751315,0.47339171171188354
80,-3.258822820000002,829.66,503,163840,325,-1.9571866568177938,0.0003,790,0.6482435464859009,0.2,10.044255256652832,83.2410151436925,0.070654296875,-0.004966074217372806,0.0059320293,0.7368772327899933
81,-4.110532600000002,822.0,502,165888,329,-1.957036154344678,0.0003,800,0.6419041752815247,0.2,52.51130294799805,75.82575545459986,0.063330078125,-0.0035787383800197857,0.007841006,0.6661748886108398
82,-3.553378030000003,826.62,500,167936,335,-1.9449671529233457,0.0003,810,0.6400923728942871,0.2,34.28874588012695,137.73703936338424,0.06767578125,-0.0034102451492799444,0.0067906296,0.5729702115058899
83,-1.2139046500000015,819.44,502,169984,338,-1.9413829371333122,0.0003,820,0.6392941474914551,0.2,2.8748691082000732,42.46713505536318,0.12841796875,-0.0005522610590560362,0.012105597,0.7038940489292145
84,-3.8547882800000015,800.17,503,172032,341,-1.932305632904172,0.0003,830,0.6354931592941284,0.2,10.292757987976074,82.92281626760959,0.04384765625,-0.002794119995814981,0.005061031,0.6907458007335663
85,-7.317590790000001,784.47,503,174080,345,-1.9236676171422005,0.0003,840,0.6339775919914246,0.2,26.678579330444336,115.39941904395819,0.074169921875,-0.0035389147560636047,0.007433297,0.7580006420612335
86,-5.256694249999998,769.79,504,176128,348,-1.9249227851629258,0.0003,850,0.6371089220046997,0.2,49.6275749206543,182.63561237752438,0.062841796875,-0.004532080956414575,0.005776486,0.4327758550643921
87,-6.044013700000001,766.14,503,178176,353,-1.93457367233932,0.0003,860,0.638790488243103,0.2,12.750691413879395,129.6479181781411,0.048291015625,-0.002376649496909522,0.005925265,0.6511427164077759
88,-8.309114040000004,762.67,505,180224,356,-1.9291784252971411,0.0003,870,0.6326756477355957,0.2,2.2722713947296143,66.84761817343534,0.077734375,-0.0016127880822750739,0.0059617977,0.7725348472595215
89,-12.614866020000001,754.87,507,182272,359,-1.8985295049846171,0.0003,880,0.6228102445602417,0.2,41.94697570800781,80.95340125486254,0.12998046875,-0.0006756273447535932,0.008253299,0.8092601150274277
90,-13.143830950000002,744.73,506,184320,364,-1.8930281843990087,0.0003,890,0.6282575130462646,0.2,9.316975593566895,88.69665826037526,0.04609375,-0.0036183172142045805,0.004652545,0.7765045762062073
