time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/loss
159744,794.84,-3.121267150000002,78,211,755,0.0065977485,0.639207661151886,0.0003,770,-0.7071767382323741,-0.0020767394016729668,0.2,0.0388671875,139.06781388223172,4.241082191467285
161792,783.67,-4.1526223000000035,79,213,756,0.009774065,0.8307729065418243,0.0003,780,-0.9024402378126979,-0.002383459267730359,0.2,0.0951171875,54.39200391471386,5.117514610290527
163840,779.14,-3.0603023300000043,80,216,755,0.003351322,0.7241390645503998,0.0003,790,-0.9151022866368294,-0.001850965711491881,0.2,0.03603515625,111.31586716920137,2.0553905963897705
165888,765.84,-6.522928040000003,81,219,755,0.014727076,0.7389375865459442,0.0003,800,-0.7765113968402148,-0.0022022260913217907,0.2,0.097119140625,96.42723923400044,28.130226135253906
167936,769.34,-7.793775770000003,82,223,751,0.011169276,0.8415570855140686,0.0003,810,-0.8583643205463887,-0.003314537351616309,0.2,0.081396484375,83.78354372903705,218.90879821777344
169984,769.34,-7.460118650000003,83,226,750,0.008311365,0.8633706718683243,0.0003,820,-0.9450219437479973,-0.001092316569702234,0.2,0.135595703125,32.70059823468328,0.675108790397644
172032,774.14,-6.573778570000001,84,229,748,0.010407304,0.9050765410065651,0.0003,830,-0.8249363074079156,-0.001524586793675553,0.2,0.08251953125,45.1142870400101,0.5760504603385925
174080,770.52,-5.202786350000001,85,233,746,0.0068455543,0.9141277074813843,0.0003,840,-0.8055230336263776,-0.0008471563560306095,0.2,0.07890625,36.28424013778567,3.4302797317504883
176128,765.83,-4.569930380000003,86,236,745,0.012412006,0.702894002199173,0.0003,850,-0.9134917648509144,-0.0017618293280975196,0.2,0.09853515625,69.64827836677432,51.43479537963867
178176,760.51,-6.60500396,87,240,741,0.0061494587,0.7141765058040619,0.0003,860,-0.7777246640995145,-0.002640683261415688,0.2,0.0654296875,83.02441321462393,21.675922393798828
180224,755.22,-7.593940270000001,88,243,741,0.004712357,0.606872171163559,0.0003,870,-0.9344981642439961,-0.0014550659660017117,0.2,0.03544921875,88.11733752079309,74.90558624267578
182272,739.6,-6.747337460000001,89,246,740,0.0050161174,0.7653923332691193,0.0003,880,-0.9562902387231589,-0.0010486564788152464,0.2,0.0826171875,81.43689196072519,35.503273010253906
184320,729.51,-7.685124779999999,90,248,740,0.0044839852,0.6272853910923004,0.0003,890,-0.8295392021536827,-0.0005576216377448873,0.2,0.015087890625,181.10085431337356,132.34104919433594
186368,728.92,-6.5530976300000034,91,251,740,0.0041549904,0.7551190555095673,0.0003,900,-0.8193357739597559,-0.0005352866721295868,0.2,0.0697265625,125.36752494722604,84.1488037109375
188416,734.96,-3.2578447000000033,92,255,738,0.0039391527,0.693874180316925,0.0003,910,-0.8339791793376208,-0.002664056770299794,0.2,0.058984375,111.25750866308809,26.924062728881836
190464,748.05,1.1950599599999954,93,257,739,0.010551567,0.6918146908283234,0.0003,920,-0.8268780250102281,-0.00224247185196873,0.2,0.11953125,74.24689335078001,15.961849212646484
192512,748.05,0.674401069999995,94,260,738,0.0062416634,0.6460085511207581,0.0003,930,-0.8545593032613397,-0.0009267320161598036,0.2,0.1083984375,101.50524968393147,2.3237569332122803
194560,746.99,-1.6584220800000022,95,263,737,0.008589309,0.8035521656274796,0.0003,940,-0.6669121120125056,-0.0022102062561316417,0.2,0.11318359375,39.807856518961486,1.545230507850647
196608,745.69,-1.870085650000002,96,266,738,0.0039246446,0.7193180918693542,0.0003,950,-0.7785600796341896,-0.0019851697845297165,0.2,0.034228515625,76.70484691634775,37.448890686035156
198656,741.87,-3.242777299999998,97,270,735,0.010589978,0.676308661699295,0.0003,960,-0.8321398552507162,-0.004219467691291357,0.2,0.07841796875,166.51765122562648,16.62700653076172
200704,748.15,-1.97180029,98,274,732,0.008538965,0.6672711372375488,0.0003,970,-0.8922057239338755,-0.001285247258056188,0.2,0.06376953125,114.21704655364155,42.881080627441406
202752,747.3,-5.3233223,99,276,732,0.010888556,0.8411374092102051,0.0003,980,-0.8637072823941707,-0.004894635023811133,0.2,0.1259765625,40.62155517563224,4.4545111656188965
204800,751.08,-2.1452134700000043,100,279,731,0.010583288,0.7839777916669846,0.0003,990,-0.8663594121113419,-0.002051791590929497,0.2,0.076220703125,61.885948626324534,30.25836753845215
