rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss
-8.716255229999998,200704,416,482,656.89,98,0.00809375,0.2,0.0003,-0.8035318555310369,970,0.6894571185112,0.10361328125,111.61939798891544,-0.002632848572102375,12.432982444763184
-12.04779374,202752,418,484,662.0,99,0.005859811,0.2,0.0003,-0.7597661716863513,980,0.5534433722496033,0.038623046875,129.4578999221325,-0.0020062005296495045,19.061843872070312
-13.707679039999999,204800,421,485,670.97,100,0.0072037093,0.2,0.0003,-0.8637143185362219,990,0.673436164855957,0.075830078125,135.42684582173825,-0.0054182959684112575,312.24945068359375
-19.40078704,206848,424,487,666.79,101,0.013090324,0.2,0.0003,-0.7501496138051152,1000,0.6281545162200928,0.067822265625,85.91622383147478,-0.0002087132044835016,18.28253173828125
-19.57888948,208896,426,489,676.78,102,0.010555295,0.2,0.0003,-0.8016621463000775,1010,0.7618091106414795,0.059521484375,166.91279926002025,-0.0028199534463055898,38.08499526977539
-14.741212819999998,210944,430,490,690.2,103,0.008141471,0.2,0.0003,-0.8693402392789722,1020,0.8763793036341667,0.1103515625,26.43529515787959,-0.004379289882490411,2.3125836849212646
-17.947605489999997,212992,432,492,691.67,104,0.0052508367,0.2,0.0003,-0.8002041801810265,1030,0.5908806025981903,0.0275390625,94.3631143182516,-0.0022170556010678412,13.301955223083496
-15.065342449999997,215040,435,494,690.79,105,0.005827735,0.2,0.0003,-0.9031037813052535,1040,0.7646351903676987,0.065869140625,86.90225740224123,-0.004116235429683002,24.357664108276367
-13.88211843,217088,438,494,692.02,106,0.0053926045,0.2,0.0003,-0.7966913035139441,1050,0.802808552980423,0.043408203125,150.49637106657028,-0.004185556613447261,60.099639892578125
-12.474350950000003,219136,440,496,686.16,107,0.0061762887,0.2,0.0003,-0.8245827030390501,1060,0.823727160692215,0.03330078125,71.79122632294893,-0.0014061649962968659,19.882976531982422
