rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
492.97,228,192512,94,841,46.48115787999999,0.008535796,0.2,27.757308959960938,137.3282205104828,0.5799453556537628,930,-0.7834507821127772,0.084619140625,-0.0029147147019102705,0.0003
481.75,230,194560,95,843,42.2702898,0.0033867327,0.2,13.035874366760254,161.18617551624774,0.6124742031097412,940,-0.7297099880874157,0.041357421875,-0.003369917308737058,0.0003
476.65,233,196608,96,843,40.26434475,0.006697908,0.2,28.09066390991211,214.7800830990076,0.5984446108341217,950,-0.7769857257604599,0.04345703125,-0.002866488207655493,0.0003
470.03,235,198656,97,844,40.19751581,0.0050546695,0.2,38.906272888183594,154.12773001343012,0.6573714017868042,960,-0.8188528832048177,0.078955078125,-0.0024438588185148546,0.0003
464.94,237,200704,98,845,42.29352831999999,0.0027659792,0.2,155.09169006347656,233.07372353076934,0.6590771377086639,970,-0.8089218165725469,0.02353515625,-0.0024902364901208786,0.0003
456.27,239,202752,99,846,38.8072982,0.011213435,0.2,31.290098190307617,135.84627643823623,0.6060125529766083,980,-0.7716015852987766,0.086767578125,-0.0010154749754292425,0.0003
454.47,242,204800,100,845,38.485134050000006,0.003942309,0.2,82.80467224121094,245.15920735895634,0.6497009098529816,990,-0.7636980507522821,0.064501953125,-0.00393441059604811,0.0003
450.62,244,206848,101,846,38.29043599,0.008243535,0.2,9.953973770141602,90.60212567001581,0.7475190460681915,1000,-0.7819398170337081,0.065478515625,-0.0004119541554246098,0.0003
442.55,246,208896,102,847,37.43736508,0.0041891774,0.2,68.90910339355469,154.97824897766114,0.6738141775131226,1010,-0.730874827504158,0.037744140625,-0.002870448521571234,0.0003
442.23,248,210944,103,848,43.14800598000001,0.0048069404,0.2,108.88533782958984,221.26571813821792,0.6603827178478241,1020,-0.6890308011323214,0.038427734375,-0.0037857753195567057,0.0003
