time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss
98,200704,298,672,711.09,31.17207092,0.046044921875,0.0003,-0.0013426005221845116,970,-0.7592904314398765,132.99769915044308,0.6413400769233704,0.2,0.0093855355,7.429150104522705
99,202752,301,672,701.24,30.882732319999995,0.0478515625,0.0003,-0.004245732632989529,980,-0.8661420233547688,200.74594894349576,0.5170814692974091,0.2,0.005478818,15.064003944396973
100,204800,304,672,691.08,31.122259359999997,0.070361328125,0.0003,-0.002917764365702169,990,-0.8801183214411139,178.6537390947342,0.5246342122554779,0.2,0.0081030335,47.04479217529297
101,206848,307,671,685.1,32.582575770000005,0.04150390625,0.0003,-0.0033800683821027635,1000,-0.8391280394047499,100.55004892200232,0.6503290235996246,0.2,0.0052775354,28.273052215576172
102,208896,311,670,683.12,34.62051289,0.067578125,0.0003,-0.0017430186398996739,1010,-0.7323518972843885,84.84797179698944,0.5321996510028839,0.2,0.008961295,6.587099075317383
103,210944,314,671,670.56,37.52524634,0.039404296875,0.0003,-0.0014638747947174125,1020,-0.7482371225953102,77.6238115131855,0.5691812336444855,0.2,0.0035647135,39.27402877807617
104,212992,316,672,654.94,42.054012060000005,0.03623046875,0.0003,-0.0030551567069778685,1030,-0.843399865180254,198.74370129555464,0.4806250333786011,0.2,0.005959083,100.1930160522461
105,215040,319,673,644.01,42.08152229,0.028076171875,0.0003,-0.0014326823176816106,1040,-0.7225747361779213,126.75066922605038,0.44860202074050903,0.2,0.005100523,282.0882873535156
106,217088,322,673,638.33,42.30419878,0.05498046875,0.0003,-0.003948689593016752,1050,-0.8668428337201476,102.67976662665606,0.5462944209575653,0.2,0.0056168176,31.60715675354004
107,219136,325,674,633.32,43.690533970000004,0.075244140625,0.0003,-0.00505463587178383,1060,-0.7359553130343557,73.99236156344413,0.7677798867225647,0.2,0.010338568,11.791251182556152
108,221184,328,673,633.74,45.19447357,0.058251953125,0.0003,-0.002343421529803891,1070,-0.8969052378088236,126.48441903293133,0.5790694057941437,0.2,0.0027236547,12.404419898986816
