time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss
731,113,703.61,316,46.882219490000004,231424,0.0003,0.2,0.5315740704536438,3.8400044441223145,0.075390625,81.63645904809236,0.007961432,-0.003420716039909166,1120,-0.780744725652039
730,114,701.69,319,48.09177565000001,233472,0.0003,0.2,0.6006652414798737,53.31413650512695,0.09560546875,147.2099534213543,0.006782055,-0.0035820749100821557,1130,-0.6558397172018886
731,115,699.22,322,43.25814720000001,235520,0.0003,0.2,0.2549095153808594,20.963970184326172,0.036376953125,90.02649206966161,0.003964901,1.0874587314901873e-05,1140,-0.7677374895662069
730,116,698.94,325,47.99449848000001,237568,0.0003,0.2,0.5881140232086182,236.67047119140625,0.07294921875,128.15831385701895,0.0038172905,-0.0017345255051623098,1150,-0.7389475300908088
730,117,693.51,327,46.242410490000005,239616,0.0003,0.2,0.7726971954107285,15.765077590942383,0.049951171875,76.4056525632739,0.008348881,-0.0013819732590491184,1160,-0.7718212315812707
412,118,683.17,586,41.99395230000001,241664,0.0003,0.2,0.6107880473136902,26.659408569335938,0.05009765625,118.13706089258194,0.0059946347,-0.0022734542391845023,1170,-0.705869947373867
412,119,684.81,590,42.962201179999994,243712,0.0003,0.2,0.742574542760849,34.01831817626953,0.115625,87.03412049114704,0.006291274,-0.003218162836128613,1180,-0.7735053965821862
413,120,685.68,594,46.93363899,245760,0.0003,0.2,0.5898906290531158,58.40182876586914,0.05087890625,100.23359910547734,0.006887612,-0.0018876759953855072,1190,-0.7684555310755968
414,121,685.49,598,41.583965559999996,247808,0.0003,0.2,0.7293440103530884,248.6135711669922,0.048095703125,49.40657149925828,0.0051759067,-0.0015110411601199302,1200,-0.7893156748265028
415,122,690.52,601,45.69613511999999,249856,0.0003,0.2,0.5368980765342712,19.716018676757812,0.027880859375,102.32503788024187,0.003033951,-0.0009406616103660781,1210,-0.7702765110880136
416,123,689.69,604,46.197095229999995,251904,0.0003,0.2,0.7375961244106293,23.561565399169922,0.09755859375,68.35372163206338,0.009086711,-0.00424239801504882,1220,-0.8636628789827228
920,1,766.5,2,-11.06,2048,0.0003,0.2,0.7488366067409515,24.113679885864258,0.067724609375,76.56432552784682,0.010936655,-0.0014560937090209336,1230,-0.7477071957662702
828,2,763.2,4,-17.215999999999998,4096,0.0003,0.2,0.8342531323432922,9.052631378173828,0.121240234375,29.939500803500415,0.011836253,-0.004257075111672748,1240,-0.7389962460845709
773,3,751.75,7,-12.97625,6144,0.0003,0.2,0.8500629216432571,4.235186576843262,0.0380859375,32.31409172564745,0.0038468349,-0.0004076061748492066,1250,-0.7689809411764145
774,4,736.4,10,-34.393,8192,0.0003,0.2,0.8672428131103516,8.36484146118164,0.05341796875,41.04025736749172,0.005243714,-0.003969646744735655,1260,-0.7222296817228198
788,5,727.2857142857143,12,-54.16357142857142,10240,0.0003,0.2,0.5797591805458069,34.67855453491211,0.085986328125,51.09211250655353,0.013245923,-0.002635383350570919,1270,-0.7878155743703246
780,6,737.375,15,-51.958124999999995,12288,0.0003,0.2,0.5959018170833588,7.579105377197266,0.0400390625,77.23959136158228,0.0048694173,-0.0017374132679833566,1280,-0.6739130761474371
760,7,747.3684210526316,18,-51.152105263157885,14336,0.0003,0.2,0.9080140292644501,6.013845920562744,0.16796875,12.939594403468073,0.014308079,-0.0037337797446525657,1290,-0.7386349111795425
742,8,729.0454545454545,22,-44.77136363636363,16384,0.0003,0.2,0.7402337193489075,3.6268928050994873,0.038330078125,40.047697785124186,0.0045124553,-4.702211772382725e-05,1300,-0.692229543440044
744,9,720.64,24,-40.6684,18432,0.0003,0.2,0.9088386073708534,6.892879486083984,0.057958984375,20.972488881647585,0.0043331156,-0.0009653681787312962,1310,-0.7727255411446095
739,10,703.3103448275862,27,-34.377931034482756,20480,0.0003,0.2,0.8828095048666,2.8938844203948975,0.07724609375,24.13172183893621,0.004468344,-0.004492091630527284,1320,-0.7836635131388903
740,11,690.59375,30,-29.963437499999998,22528,0.0003,0.2,0.8620744943618774,29.68425750732422,0.040380859375,48.77931662797928,0.0048135086,-0.0039036220303387383,1330,-0.7040457420051098
751,12,672.6388888888889,32,-36.78666666666666,24576,0.0003,0.2,0.9238901287317276,7.112320423126221,0.1029296875,27.12615129612386,0.0136032645,-0.0036185843484418,1340,-0.7118122477084399
753,13,656.45,35,-36.86125,26624,0.0003,0.2,0.5488081276416779,3.9828193187713623,0.022119140625,123.3255624808371,0.004315925,-0.0014184602769091725,1350,-0.7363264307379722
755,14,650.25,37,-36.23295454545455,28672,0.0003,0.2,0.9269515350461006,7.078248977661133,0.0734375,32.76141186468303,0.005606546,-0.0018967693067679647,1360,-0.7419116761535406
752,15,645.1063829787234,40,-33.373829787234044,30720,0.0003,0.2,0.7379880547523499,13.243804931640625,0.060400390625,96.84481773674489,0.007535943,-0.003335797980253119,1370,-0.5757158421911299
755,16,639.0,43,-29.990196078431367,32768,0.0003,0.2,0.9579274505376816,1.6814767122268677,0.07568359375,17.998509645834567,0.004073168,-0.0014502742291369942,1380,-0.694767089933157
758,17,631.5272727272727,45,-26.748545454545447,34816,0.0003,0.2,0.9462990276515484,7.10984992980957,0.088037109375,26.743974379450083,0.0069286944,-0.003765979297895683,1390,-0.7072912782430649
763,18,622.4406779661017,48,-23.20813559322034,36864,0.0003,0.2,0.9692326411604881,9.476548194885254,0.07783203125,18.217174016684293,0.010704119,-0.0031360280325316127,1400,-0.7298561373725534
766,19,625.0483870967741,50,-22.665,38912,0.0003,0.2,0.9495042599737644,4.585173606872559,0.094140625,26.342520663514733,0.009039954,-0.0018068721612507943,1410,-0.6721110565587878
775,20,613.4090909090909,52,-22.315151515151513,40960,0.0003,0.2,0.971531530842185,0.7636435031890869,0.074267578125,6.981844289042056,0.004581726,0.0018120217180694453,1420,-0.6273084109649062
