time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance
1090,20,22528,-147.01250000000002,294.5657894736842,11,0.2,0.07138671875,51.844181060791016,-0.0036525995725241955,1330,0.0003,-0.6698869628831744,93.87373443245887,0.0061676647,0.9500516690313816
1097,22,24576,-148.07764705882354,287.36470588235295,12,0.2,0.051513671875,169.45201110839844,-0.0028534505421703217,1340,0.0003,-0.6726385796442628,256.57232295274736,0.007201556,0.8149362206459045
1100,24,26624,-148.0037234042553,281.63829787234044,13,0.2,0.075537109375,50.855796813964844,-0.003031381918117404,1350,0.0003,-0.7056141678243876,189.17514506578445,0.0065988824,0.8918673992156982
1103,25,28672,-142.02899999999997,281.22,14,0.2,0.051953125,34.32685089111328,-0.0031948478124832038,1360,0.0003,-0.6249223503284156,98.2113942861557,0.004055817,0.9471838027238846
1112,27,30720,-137.911,262.24,15,0.2,0.06669921875,11.951666831970215,-0.0028625712664506866,1370,0.0003,-0.5766232889145613,55.419807595014575,0.0051671257,0.967102088034153
1117,29,32768,-130.46450000000002,258.96,16,0.2,0.02275390625,60.712223052978516,-0.003115571973467013,1380,0.0003,-0.6130808842368424,224.36266691684722,0.0045594173,0.8322865217924118
1123,30,34816,-125.47750000000002,252.78,17,0.2,0.04775390625,103.94637298583984,-0.003032444481868879,1390,0.0003,-0.5751247967593371,127.83176475763321,0.0052260095,0.928466223180294
1129,32,36864,-125.74750000000002,246.45,18,0.2,0.055224609375,89.23954772949219,-0.0036239261069567876,1400,0.0003,-0.5502490499988199,209.2507902622223,0.0041494933,0.8952344879508018
1135,34,38912,-129.56949999999998,235.37,19,0.2,0.049658203125,39.04704666137695,-0.0037142587898415513,1410,0.0003,-0.6176828955300152,197.71527868509293,0.0037557525,0.8995087593793869
1141,35,40960,-130.06349999999998,224.82,20,0.2,0.04375,106.53369140625,-0.004295943651413836,1420,0.0003,-0.577937819249928,138.7634297132492,0.0044438047,0.9438920319080353
1143,37,43008,-127.456,213.35,21,0.2,0.030029296875,205.78221130371094,-0.0052941967165679674,1430,0.0003,-0.5629914308898151,221.33849289417267,0.0041010114,0.9073733985424042
