time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
695,875.01,178176,87,256,-13.109732670000001,0.2,22.397356033325195,0.008113697,0.0003,860,71.78259423784911,-0.8995480166748167,0.0892578125,-0.0016121486889460357,0.8099550157785416
693,873.46,180224,88,259,-15.296664530000003,0.2,2.9298293590545654,0.00763255,0.0003,870,43.651288920640944,-0.8707743737846613,0.136962890625,-0.0027326277617248707,0.8707757443189621
692,873.06,182272,89,263,-12.604858829999998,0.2,2.8769688606262207,0.0070414366,0.0003,880,48.01451523080468,-0.8194780888035893,0.03330078125,-0.001740549454189022,0.856774777173996
690,873.06,184320,90,266,-12.579722149999998,0.2,3.738287925720215,0.013801524,0.0003,890,88.67709157764912,-0.8838242312893272,0.09716796875,-0.0017802484409912723,0.6014674007892609
688,873.96,186368,91,270,-11.102807909999997,0.2,0.9974546432495117,0.0062635257,0.0003,900,42.04437369536608,-0.9147386886179447,0.076220703125,-0.0020378004075610077,0.8150230795145035
686,873.96,188416,92,274,-11.104862259999999,0.2,8.238180160522461,0.005217255,0.0003,910,135.24560683220625,-0.8267088098451495,0.019189453125,-0.0007190515050751855,0.5561102628707886
685,869.54,190464,93,277,-8.195163860000001,0.2,2.2836623191833496,0.015155019,0.0003,920,36.93948901984841,-0.9393637530505657,0.160791015625,-0.003386948769184528,0.8240980058908463
684,868.16,192512,94,281,-5.44904853,0.2,8.036526679992676,0.0035922322,0.0003,930,53.00125295519829,-0.7841067086905241,0.032373046875,-0.00043555751981330106,0.6147754490375519
683,871.36,194560,95,284,-4.46027053,0.2,13.662307739257812,0.0025387593,0.0003,940,125.3665019929409,-0.8430310206487774,0.0119140625,-0.0012541015745227923,0.6277844607830048
682,863.31,196608,96,287,-5.12207668,0.2,0.6833854913711548,0.019191723,0.0003,950,34.82475801082328,-0.834148621559143,0.10458984375,-0.004648164100944996,0.8019776344299316
680,863.82,198656,97,291,-4.1072232500000005,0.2,20.554283142089844,0.004016704,0.0003,960,124.38094520047306,-0.8562087908387184,0.04033203125,-0.00032207455042225773,0.5257054567337036
679,863.59,200704,98,295,-1.8862034699999992,0.2,299.6065368652344,0.0049255434,0.0003,970,33.946551942452786,-0.7433868972584605,0.05458984375,-0.00284562985325465,0.8340142965316772
678,857.9,202752,99,298,1.0181339800000007,0.2,397.51300048828125,0.006887218,0.0003,980,51.889824555441734,-0.831457107886672,0.127392578125,-0.0021680838413885794,0.7688845545053482
678,851.55,204800,100,301,-0.3969518099999999,0.2,24.80167579650879,0.006414183,0.0003,990,102.03511668890715,-0.7957849428057671,0.04638671875,-0.0011792006589530502,0.3942195177078247
676,847.33,206848,101,305,-1.8061064900000003,0.2,21.97030258178711,0.009510936,0.0003,1000,99.87906847447157,-0.8555681347846985,0.0859375,-0.002664629800710827,0.6539894044399261
674,845.59,208896,102,309,0.3621571800000008,0.2,28.37491798400879,0.009722617,0.0003,1010,70.21920185536146,-0.8850579626858235,0.08623046875,-0.0018080607846059139,0.7039191126823425
