time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
9,-471.95010086363635,27,18432,824.8636363636364,679,0.2,1.4261243343353271,1310,0.8788018003106117,-0.9199954459443689,32.507453040778636,0.019716766,0.0003,0.14716796875,-0.006004711952118669
10,-464.32782625,31,20480,812.0833333333334,658,0.2,43.05606460571289,1320,0.7845980376005173,-0.8246350133791566,111.43692167848349,0.002681877,0.0003,0.02509765625,-0.0012430952036083908
11,-463.53067311111107,34,22528,817.5925925925926,658,0.2,5.430217266082764,1330,0.7249848246574402,-0.7646285846829415,47.41455041877926,0.0063328496,0.0003,0.0626953125,-0.0035573315370129423
12,-466.3549717096774,37,24576,788.0645161290323,661,0.2,2.1478776931762695,1340,0.8121387660503387,-0.863389914482832,61.64864760786295,0.0046002814,0.0003,0.065673828125,-0.002587904455867829
13,-466.161979939394,41,26624,800.9090909090909,644,0.2,165.7157440185547,1350,0.7337632775306702,-0.7395575748756528,131.00554105341433,0.014632426,0.0003,0.073486328125,-0.002559735883914982
14,-468.6707296111111,43,28672,794.4722222222222,651,0.2,2.7030889987945557,1360,0.8336306363344193,-0.751411665789783,58.682373601943254,0.007729939,0.0003,0.100390625,-0.005284100360586308
15,-484.7302492894737,47,30720,803.8947368421053,653,0.2,4.806341171264648,1370,0.8274995386600494,-0.768981171399355,103.41268206462264,0.00618085,0.0003,0.0455078125,-0.0028113907952501903
16,-483.1155736341463,49,32768,790.1951219512196,656,0.2,86.03793334960938,1380,0.6010307967662811,-0.9148352324962616,87.98869215101004,0.0031303407,0.0003,0.055517578125,-0.002049495038954774
17,-490.7733915348836,53,34816,799.953488372093,654,0.2,42.79273223876953,1390,0.7019153237342834,-0.8875658988952637,148.22666807621718,0.0077501875,0.0003,0.0396484375,-0.0010283163028361741
18,-488.7408455,55,36864,793.5,662,0.2,1.5914329290390015,1400,0.9304973483085632,-0.8544521674513816,38.27907947264612,0.012913922,0.0003,0.18017578125,-0.0023638365062652157
19,-487.4870078541667,59,38912,802.1041666666666,653,0.2,29.0042781829834,1410,0.8115259557962418,-0.803313747048378,117.60661337673665,0.0043701725,0.0003,0.047998046875,-0.0016049150442995596
20,-482.76749704,63,40960,800.1,646,0.2,3.1863014698028564,1420,0.8709326386451721,-0.8100317288190126,52.12382084205747,0.0065045846,0.0003,0.106640625,-0.004683571935311192
