time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss
237,-6.39920175,973.87,706,167936,82,0.058203125,0.956885576248169,0.8567028492689133,21.394955238327384,0.0074282247,-0.002422774733713595,0.0003,0.2,810,-0.7780811950564385
242,-5.558422740000001,973.87,699,169984,83,0.03935546875,3.358741283416748,0.7019535005092621,25.950403939187527,0.0066247657,-0.006510094053373905,0.0003,0.2,820,-0.6792533401399851
245,-6.458932380000001,973.87,699,172032,84,0.064794921875,0.593955934047699,0.6408931016921997,15.259052394144238,0.0047241533,0.0008297701104311272,0.0003,0.2,830,-0.7305438969284296
249,-6.64619603,973.87,697,174080,85,0.06025390625,0.6194583177566528,0.8932377845048904,34.476817566528915,0.004841327,-0.0029504001344321296,0.0003,0.2,840,-0.7254353845492005
252,-5.830153980000001,973.87,697,176128,86,0.060888671875,0.675602376461029,0.4967902898788452,29.62137997597456,0.0037900382,3.5551958717405798e-06,0.0003,0.2,850,-0.6890030222013592
256,-5.62661748,973.87,695,178176,87,0.087646484375,0.6485536694526672,0.7672152370214462,14.071283470466733,0.0051861363,-0.003484035258588847,0.0003,0.2,860,-0.7139797750860453
259,-5.989540479999999,973.87,695,180224,88,0.093701171875,0.5727927088737488,0.7942090332508087,11.27896129861474,0.007600499,-0.004410322751209605,0.0003,0.2,870,-0.7717939034104347
262,-5.590638039999998,973.87,694,182272,89,0.0904296875,0.25806495547294617,0.7969630807638168,17.533571990020572,0.007684936,-0.0036405534905497917,0.0003,0.2,880,-0.7473694732412696
266,-7.446730099999997,971.36,692,184320,90,0.080810546875,0.2026648074388504,0.559320479631424,20.29349650060758,0.005641437,-0.0022796667108195834,0.0003,0.2,890,-0.7002316012978553
269,-6.8006761299999985,971.36,692,186368,91,0.0234375,2.047872543334961,0.831005185842514,29.220136552490295,0.002086311,-0.0007196014325018041,0.0003,0.2,900,-0.6843788595870137
273,-6.637908529999999,971.36,688,188416,92,0.08681640625,0.41601094603538513,0.47842317819595337,18.850317356549205,0.009697624,-0.003410840514698066,0.0003,0.2,910,-0.6793818812817335
277,-6.477579080000001,971.36,685,190464,93,0.0705078125,0.5538466572761536,0.6427431106567383,13.108199643716215,0.007976834,-0.0011974158973316663,0.0003,0.2,920,-0.69891436714679
282,-5.722366400000001,974.46,680,192512,94,0.057421875,0.8450807332992554,0.5765717029571533,27.731276143714787,0.003793201,-0.00032376977796957365,0.0003,0.2,930,-0.6832436183467507
285,-6.788841199999999,970.68,680,194560,95,0.04404296875,0.5734180212020874,0.8786404505372047,21.190035933814944,0.005188927,-0.00204583845770685,0.0003,0.2,940,-0.7866026045754552
289,-6.76742578,970.68,679,196608,96,0.057666015625,26.81609344482422,0.9201742485165596,34.391487416625026,0.0030923537,-0.002451218297937885,0.0003,0.2,950,-0.7271003538742662
293,-7.063076070000001,970.68,675,198656,97,0.09580078125,0.5323126912117004,0.5783534944057465,22.378286424838006,0.0050711976,-0.003502362590370467,0.0003,0.2,960,-0.6684253599494696
297,-7.12740677,970.68,674,200704,98,0.055126953125,0.23553472757339478,0.6096699237823486,19.883377944491805,0.0050453665,-0.003108829658594914,0.0003,0.2,970,-0.7062718711793423
301,-6.51575312,970.68,672,202752,99,0.04814453125,0.7423506379127502,0.9242199435830116,25.822149250283836,0.0033622712,-0.0012936438986798748,0.0003,0.2,980,-0.7060014303773642
304,-6.570178480000002,970.68,671,204800,100,0.096435546875,0.2543601393699646,0.6152330636978149,23.60900798738003,0.008571154,-0.0029701630235649647,0.0003,0.2,990,-0.6957729460671545
308,-6.214262510000001,970.68,671,206848,101,0.079931640625,20.44289779663086,0.9262762069702148,30.488699664920567,0.0069446974,-0.0003809409790846985,0.0003,0.2,1000,-0.6616046240553259
312,-6.805971830000001,970.68,668,208896,102,0.076025390625,0.24465641379356384,0.7606870830059052,26.913981571700425,0.0064891223,-0.0018375801635556854,0.0003,0.2,1010,-0.7191286565735936
315,-10.22807537,953.72,669,210944,103,0.03134765625,111.64031982421875,0.9133912399411201,28.908251815102993,0.00397733,-0.0021743498939031268,0.0003,0.2,1020,-0.7013097738847136
318,-8.525526939999999,953.72,668,212992,104,0.040283203125,9.679916381835938,0.6305127739906311,139.16194795370103,0.005824481,-0.0005342060227121692,0.0003,0.2,1030,-0.6214531503617764
322,-9.96578878,953.79,667,215040,105,0.075341796875,0.5672228336334229,0.7184377312660217,23.063884803280235,0.0066946484,-0.001983028023823863,0.0003,0.2,1040,-0.7049215344712139
326,-9.457552849999999,953.79,665,217088,106,0.07587890625,0.9267982244491577,0.761441171169281,23.96133573483676,0.0051440885,-0.002450388806028059,0.0003,0.2,1050,-0.6647945178672672
329,-8.57555839,953.58,664,219136,107,0.070458984375,0.3672025799751282,0.7929000407457352,26.682649554871023,0.0065400302,-0.0022800626436946915,0.0003,0.2,1060,-0.665724845789373
332,-8.37544023,953.58,664,221184,108,0.04951171875,164.76937866210938,0.6916482746601105,93.6037221878767,0.0055136015,-0.0014211088979209307,0.0003,0.2,1070,-0.7059665726497769
336,-8.763588020000002,953.58,664,223232,109,0.04970703125,0.7062332630157471,0.9015445336699486,18.261463954579085,0.0034145096,-0.0006797827689297264,0.0003,0.2,1080,-0.6695726698264479
339,-8.914339810000003,953.58,663,225280,110,0.09599609375,0.4270007312297821,0.544264167547226,28.151681027840823,0.006912631,-0.002797097073198529,0.0003,0.2,1090,-0.6864314764738083
343,-8.6898666,953.58,661,227328,111,0.054052734375,0.40887799859046936,0.6501947641372681,29.205341790802777,0.0043502646,0.0011335298630001489,0.0003,0.2,1100,-0.6726746790111064
347,-8.56354903,953.58,660,229376,112,0.059814453125,0.559788167476654,0.6160017251968384,32.99407128049061,0.0048888293,0.0005096524604596197,0.0003,0.2,1110,-0.6155415665358305
351,-9.32583875,953.58,659,231424,113,0.053369140625,0.9787935614585876,0.6023056507110596,22.633706678450107,0.0058869524,-0.001731159677001415,0.0003,0.2,1120,-0.6155202424153685
354,-8.526567679999998,953.58,658,233472,114,0.072119140625,1.3323094844818115,0.7713316977024078,13.692278978601099,0.004409737,-0.0006577176171049359,0.0003,0.2,1130,-0.6540949521586299
359,-8.746688709999999,953.58,655,235520,115,0.0466796875,132.57757568359375,0.714216411113739,22.23915552245453,0.005310778,-0.001406857353867963,0.0003,0.2,1140,-0.6820772220380604
362,-10.3713154,953.19,655,237568,116,0.060009765625,0.5703029632568359,0.8282045423984528,18.00726505899802,0.0044136336,-0.005167173712106887,0.0003,0.2,1150,-0.6518582178279757
365,-9.35129386,953.61,656,239616,117,0.04912109375,0.825066089630127,0.9060927033424377,27.877031441405414,0.011941442,-0.008729319398116785,0.0003,0.2,1160,-0.7389797572046518
369,-10.25528541,948.8,653,241664,118,0.031005859375,32.34653854370117,0.7918740510940552,57.45343258939683,0.0035292604,-0.0018022750446107239,0.0003,0.2,1170,-0.7047218766063452
372,-8.850743430000001,948.8,653,243712,119,0.0541015625,1.9841228723526,0.17932456731796265,72.31769904382527,0.007204859,0.0025047796880244277,0.0003,0.2,1180,-0.6429740769788623
376,-8.25044198,948.8,652,245760,120,0.076416015625,0.5936403274536133,0.9525816664099693,12.75034286621958,0.0075893793,-0.001984037079819245,0.0003,0.2,1190,-0.7126127518713474
379,-8.92993287,948.8,652,247808,121,0.0380859375,3.1600210666656494,0.9374575242400169,28.876649421453475,0.004672775,-0.001293953784625046,0.0003,0.2,1200,-0.6089180114679038
383,-7.07041276,953.7,651,249856,122,0.050390625,1.2049731016159058,0.7745720744132996,20.66636721082032,0.005844779,-0.0002916919460403733,0.0003,0.2,1210,-0.6461871797218919
387,-8.060944990000001,953.7,650,251904,123,0.047216796875,1.1338237524032593,0.9438324831426144,17.811000414192677,0.0017385508,0.0006894775175169343,0.0003,0.2,1220,-0.7098743254318833
2,-638.920643,661.6666666666666,700,2048,1,0.043017578125,5.243553161621094,0.9363967552781105,20.31917000114918,0.0062528253,-0.0031093595222046132,0.0003,0.2,1230,-0.6423223337158561
